Game7
 Jonas : 4                       Holm : 4
  1)                             14: 13/9 24/23 
  2) 54: 24/20 20/15             63: 24/18 13/10* 
  3) 21: 25/23 8/7*              21: 25/23 10/9 
  4) 44: 13/9 13/9 9/5 9/5       63: 9/3 6/3 
  5) 33: 13/10 10/7 6/3 6/3      33: 8/5 8/5 5/2* 5/2 
  6) 41: 25/21 21/20             42: 8/4 6/4 
  7)  Doubles => 2                Takes
  8) 42: 20/16* 16/14            52: 25/23 6/1* 
  9) 42:                         21: 13/11* 11/10 
 10) 42:                         44: 13/9 13/9 9/5 9/5 
 11) 33:                         66: 10/4 
 12) 43:                         63: 4/1 
 13) 66:                         31: 6/3 6/5 
 14) 54:                         53: 5/2 
 15) 65: 25/19                   11: 5/4 5/4 3/2 2/1 
 16) 43:                         61: 2/1 
 17) 65: 25/20 13/7              32: 4/1 23/21 
 18) 32: 7/4* 6/4                61: 25/24 
 19) 66: 20/14 19/13 14/8 13/7   52: 4/2 
 20) 43: 13/9 9/6                64: 
 21) 22: 8/6 8/6 8/6 6/4         43: 4/1 
 22) 44: 7/3 7/3 7/3 4/0         41: 24/23 
 23) 41: 5/1 6/5                 53: 23/18 18/15 
 24) 21: 3/1 6/5                 63: 15/9 9/6 
 25) 21: 3/1 1/0                 11: 6/5 5/4 4/3 2/1 
 26) 31: 3/0 1/0                 52: 23/18 18/16 
 27) 52: 5/0 6/4                 54: 16/11 11/7 
 28) 65: 6/0 6/1                 54: 23/18 18/14 
 29) 62: 5/0 4/2                 54: 14/9 9/5 
 30) 53: 5/0 3/0                 
      Wins 2 points              

 
