Game3
 Serge Rived : 0                 Andreas Humke : 2
  1) 23: 24/21 13/11             53: 8/3 6/3 
  2) 61: 11/5 6/5                66: 24/18 24/18 13/7 13/7 
  3) 54: 13/8 8/4                 Doubles => 2
  4)  Takes                      52: 18/13 18/16 
  5) 51: 8/3 4/3                 53: 16/11 11/8 
  6) 55: 21/16 16/11 6/1 6/1     52: 13/8 13/11 
  7) 61: 13/7 11/10              43: 11/7 6/3 
  8) 21: 24/23 23/21             55: 13/8 13/8 8/3 8/3 
  9) 33: 13/10 10/7 7/4 7/4      41: 6/2 3/2 
 10) 22: 13/11 11/9 10/8 8/6     61: 8/2 2/1 
 11) 42: 9/5 8/6                 51: 7/2 2/1 
 12) 54: 21/16 16/12             43: 8/4 8/5 
 13) 32: 12/9 8/6                51: 8/3 7/6 
 14) 52: 9/4 6/4                 33: 7/4 3/0 3/0 3/0 
 15) 64: 6/0 4/0                 53: 5/0 3/0 
 16) 53: 5/0 3/0                 33: 6/3 6/3 3/0 3/0 
 17) 32: 3/0 4/2                 62: 6/0 2/0 
 18) 62: 6/0 2/0                 31: 3/0 1/0 
 19) 41: 4/0 1/0                 41: 4/0 1/0 
 20) 55: 6/1 6/1 5/0 5/0         42: 4/0 2/0 
                                  Wins 2 points

 
