Game7
 Idsoe : 13                      Vischjager : 0
  1)                             62: 24/18 13/11 
  2) 61: 13/7* 8/7               41: 25/21 21/20 
  3) 55: 8/3 8/3 6/1* 6/1        32: 25/23 23/20 
  4) 42: 13/9 24/22              65: 11/5 13/8 
  5) 54: 24/20* 20/15            63: 
  6) 53: 9/4 7/4                 54: 25/20 6/2 
  7) 61: 13/7 22/21              61: 13/7 8/7 
  8) 63: 21/15 6/3               31: 8/5 6/5 
  9) 52: 13/8 8/6                65: 20/14 14/9 
 10) 62: 15/9 15/13              54: 20/16* 16/11 
 11) 52: 25/23* 13/8             21: 25/23 13/12* 
 12) 65:                         51: 20/15 9/8 
 13) 63: 25/22 8/2*              64: 
 14) 42: 6/2 23/21               44: 
 15) 41: 7/3 22/21               65: 25/20 20/14 
 16) 31: 7/4 3/2                  Doubles => 2
 17)  Takes                      63: 15/9 12/9 
 18) 41: 6/2 6/5                 21: 13/11 8/7 
 19) 43: 5/1 4/1                 31: 11/8 6/5 
 20) 42: 3/1                     64: 11/5 5/1 
 21) 43: 4/1                     52: 8/3 5/3 
 22) 43: 4/1                     53: 14/9 9/6 
 23) 65: 21/15 15/10             55: 9/4* 9/4 7/2 6/1 
 24) 65:                         21: 7/5 7/6 
 25) 11:                         22: 8/6 6/4 6/4 4/2 
 26) 66:                         65: 8/2 5/0 
 27) 66:                         53: 5/0 5/2 
 28) 64:                         31: 4/1 1/0 
 29) 53: 25/20 10/7              43: 4/0 3/0 
 30) 32: 20/17 17/15             42: 4/0 2/0 
 31) 32: 15/12 12/10             21: 2/0 1/0 
 32) 43: 10/6 7/4                
                                  Wins 2 points

 
