Game3
 Jake : 8                        Tom Meyer : 0
  1)                             63: 24/18 13/10 
  2) 32: 24/21 13/11             33: 10/7 7/4* 6/3 6/3 
  3) 62: 25/23 13/7*             61: 25/24 24/18* 
  4) 51: 25/20 8/7*              41: 25/24 8/4 
  5) 42: 24/20 13/11             32: 24/21 24/22 
  6) 64: 11/5 11/7                Doubles => 2
  7)  Takes                      11: 22/21 21/20* 3/2* 3/2 
  8) 32: 25/22                   41: 8/4 4/3* 
  9) 31: 25/22* 25/24            41: 25/21 21/20 
 10) 61: 24/18 18/17*            53: 25/22 13/8* 
 11) 36: 25/22 13/7              51: 13/8 13/12* 
 12) 43: 25/22 6/2               61: 22/16 21/20 
 13) 52: 7/2 22/20               61: 20/14 13/12 
 14) 64: 20/14 14/10             42: 14/10 12/10 
 15) 32: 10/7 6/4                64: 20/14 20/16 
 16) 65: 7/1 6/1                 21: 12/10 14/13 
 17) 32: 8/5 7/5                 41: 13/9 10/9 
 18) 51: 8/3 4/3                 65: 16/10 6/1 
 19) 22: 20/18 20/18 6/4 6/4     43: 16/12 12/9 
 20) 63: 18/12 12/9              61: 8/7* 7/1 
 21) 61:                         32: 9/6 10/8 
 22) 51: 25/20 7/6               21: 10/8 10/9 
 23) 11: 9/8 8/7 7/6 6/5         43: 9/5* 8/5 
 24) 54:                         54: 9/4 9/5 
 25) 51:                         42: 8/4 8/6 
 26) 21:                         42: 6/2 2/0 
 27) 65:                         53: 6/1 5/2 
 28) 21:                         42: 6/2 6/4 
 29) 52:                         62: 5/0 2/0 
 30) 51: 25/20* 20/19            22: 
 31) 32: 19/16 16/14             42: 
 32) 43: 22/18 14/11             51: 
 33) 52: 11/6 18/16              44: 
 34)  Doubles => 4                Drops
      Wins 2 points              

 
