Game17
 Svobodny : 11                   Jersov : 16
  1) 62: 24/18 13/11             32: 24/21 24/22 
  2) 64: 13/7 11/7               55: 8/3 8/3 6/1* 6/1 
  3) 62: 25/23 23/17*            66: 
  4)  Doubles => 2                Takes
  5) 22: 7/5 7/5 6/4* 6/4        52: 25/23 
  6) 21: 6/4 4/3*                11: 25/24 25/24 24/23 23/22* 
  7) 53: 25/20 20/17             51: 23/18 6/5 
  8) 33: 13/10 13/10 10/7* 10/7  66: 
  9) 41: 8/4 4/3*                52: 25/23 
 10) 31: 7/4 4/3                 21: 25/23 13/12* 
 11) 11:                         64: 24/18* 13/9 
 12) 51: 25/20*                  61: 25/24 13/7* 
 13) 41: 25/21                   66: 24/18 13/7 13/7 12/6 
 14) 33:                         11: 7/6 7/6 6/5* 6/5 
 15) 21: 25/23                   62: 9/3 6/4* 
 16) 31:                         63: 18/12 7/4 
 17) 54:                         41: 18/14 12/11 
 18) 65:                         21: 11/9 14/13 
 19) 11:                         41: 9/5 5/4 
 20) 52: 25/23                   63: 13/7 7/4 
 21) 64:                         31: 4/1 4/3 
 22) 61:                         62: 3/1 
 23) 51:                         62: 3/1 
 24) 52: 25/23 17/12             65: 23/18 18/12 
 25) 65: 17/11 11/6              64: 12/6 5/1 
 26) 43: 6/2* 23/20*             43: 
 27) 31: 20/17 17/16             31: 25/24 
 28) 66: 16/10 12/6 10/4 8/2     41: 25/24 
 29) 31: 8/5 4/3                 41: 6/5 5/1 
 30) 61: 23/17 17/16             53: 6/1 6/3 
 31) 64: 23/17 17/13             42: 3/1 
 32) 61: 13/7 7/6                41: 4/3 
 33) 43: 6/2 16/13               43: 4/1 
 34) 62: 13/7 7/5                63: 24/18 18/15 
 35) 52: 6/1* 3/1                53: 
 36) 53: 5/0 5/2                 66: 
 37) 25: 5/0 5/3                 54: 25/20 15/11 
 38) 65: 6/0 6/1                 42: 20/16 16/14 
 39) 31: 3/0 1/0                 65: 14/8 11/6 
 40) 21: 2/0 1/0                 
      Wins 2 points              

 
