Game4
 Michael Meyburg : 5             Rolf Jonas : 1
  1)                             41: 13/9 24/23 
  2) 41: 6/2* 2/1*               62: 25/23 
  3) 52: 6/1 24/22               65: 25/20 20/14 
  4) 53: 24/21 21/16*            42: 25/23 13/9* 
  5) 42: 25/21 13/11*            61: 
  6) 33: 13/10 11/8 8/5 8/5      43: 25/22 13/9 
  7) 43: 22/18 21/18             65: 22/16 16/11 
  8) 64: 18/14* 14/8             64: 25/21 21/15* 
  9) 41: 25/24 13/9              66: 13/7* 13/7 7/1* 7/1 
 10) 65: 25/20                   52: 23/18 18/16* 
 11) 31: 25/22                    Doubles => 2
 12)  Drops                       Wins 1 point

 
