Game8
 Levermann : 6                   Jonas : 8
  1)                             54: 13/8 24/20 
  2) 31: 8/5* 6/5                42: 25/21 13/11 
  3) 64: 24/18 18/14*            55: 
  4)  Doubles => 2                Takes
  5) 63: 13/7 7/4*               61: 25/24 
  6) 11: 8/7 8/7 6/5 5/4         42: 25/23 13/9 
  7) 53: 24/21 21/16*            55: 
  8) 53: 7/2* 13/10              62: 25/23* 
  9) 11: 25/24 10/9 9/8 8/7      61: 25/24 23/17 
 10) 41: 13/9 9/8*               44: 
 11) 42: 14/10 10/8              21: 25/23 24/23 
 12) 41: 16/15 15/11             61: 13/7 6/5 
 13) 21: 11/9 13/12*             65: 
 14) 11: 24/23 12/11 11/10 10/9  54: 
 15) 33: 13/10 9/6 6/3 6/3       62: 25/23 8/2* 
 16) 65: 25/20* 20/14            21: 25/24 7/5 
 17) 32: 14/11 10/8              64: 8/2 8/4 
 18) 43: 9/5 11/8                21: 8/6 6/5 
 19) 22: 8/6 8/6 6/4 5/3         65: 6/1 
 20) 43: 8/4 8/5                 65: 23/17 17/12 
 21) 65:                         33: 12/9 9/6 6/3 6/3 
 22) 32: 7/4 7/5                 64: 24/18 18/14 
 23) 64: 6/0 4/0                 33: 14/11 11/8 8/5 4/1 
 24) 52: 5/0 5/3                 44: 6/2 6/2 5/1 5/1 
 25) 42: 4/0 6/4                 11: 5/4 4/3 2/1 2/1 
 26) 66: 6/0 5/0 5/0 4/0         52: 23/18 18/16 
 27) 22: 4/2* 4/2 4/2 2/0        54: 25/20 20/16 
 28) 61: 3/0 3/2                 43: 24/20 20/17 
 29) 64: 3/0 3/0                 52: 16/11 16/14 
 30) 31: 2/0 2/1*                41: 25/24* 14/10 
 31) 32:                         54: 11/6 10/6 
 32) 22:                         32: 17/14 14/12 
 33) 33:                         51: 24/23* 23/18 
 34) 22:                         32: 12/9 18/16 
 35) 41: 25/21                   42: 16/12 9/7 
 36) 43: 25/21 21/18*            52: 25/23 12/7* 
 37) 53: 25/20 21/18*            66: 25/19 23/17 19/13 13/7* 
 38) 44: 25/21 20/16 16/12 12/8* 53: 25/20 20/17* 
 39) 61:                         41: 17/13 7/6 
 40) 53: 25/20 20/17             53: 13/8* 6/3 
 41) 65: 25/20 20/14             33: 8/5 3/0 3/0 3/0 
 42) 64: 21/15 14/10             64: 6/0 6/2 
 43) 31: 10/7 7/6                43: 5/1 3/0 
 44) 42: 15/11 11/9              31: 2/0 1/0 
 45) 65: 9/4 6/0                 41: 2/0 1/0 
 46) 54: 4/0                     
      Wins 2 points

 
