Game9
 Natanzon : 4                    Kageyama : 6
  1) 46: 24/18 13/9              65: 13/7* 6/1* 
  2) 41: 25/21 25/24*            65: 25/20 13/7 
  3) 61: 13/7 8/7                65: 13/7 20/15 
  4) 61: 21/15 9/8               31: 8/5 6/5 
  5) 54: 15/10* 13/9             55: 25/20 20/15* 15/10 10/5 
  6) 51: 25/24 9/4               61: 13/7 24/23 
  7) 35: 6/1* 4/1                22: 25/23 7/5 5/3 5/3 
  8) 54: 13/8 13/9               64: 8/2 6/2 
  9) 63: 24/21 21/15             43: 23/20 20/16* 
 10) 54: 25/21 7/2*              56: 25/20 16/10* 
 11) 64: 25/21 8/2               44: 20/16 16/12 12/8 10/6 
 12) 61: 8/2 6/5                 54: 13/8 7/3 
 13) 63: 21/15 24/21             63: 8/2 6/3 
 14) 63: 15/9 8/5                53: 8/3 8/5 
 15) 11: 7/6 6/5 6/5 5/4         33: 6/3 6/3 5/2 5/2 
 16) 53: 9/4 8/5                 44: 7/3 7/3 5/1 3/0 
 17) 65: 21/15 15/10             61: 3/0 1/0 
 18) 34: 10/6 21/18              61: 3/0 2/1 
 19) 12: 18/16 16/15             63: 3/0 3/0 
 20) 52: 15/10 10/8              52: 3/0 2/0 
 21) 63: 8/5 6/0                 43: 3/0 3/0 
 22) 43: 4/0 6/3                 32: 3/0 2/0 
                                  Wins 1 point and the match
