Game5
 Kahn : 5                        Eitan : 3
  1) 61: 13/7 8/7                62: 24/22 22/16 
  2) 32: 13/10 10/8              31: 8/5 6/5 
  3) 62: 13/7 24/22              21: 16/14 14/13 
  4) 43: 8/4 7/4                 41: 24/20 6/5 
  5) 61: 22/16 6/5*              51: 25/20* 6/5 
  6) 53: 25/22 16/11             31: 5/2 2/1* 
  7) 64: 25/21 11/5*             11: 25/24 8/7 5/4* 4/3* 
  8) 63: 25/22*                  22: 25/23 24/22 22/20* 13/11 
  9) 31: 25/22 25/24*            54: 25/20 11/7 
 10) 42: 6/2* 24/22              62: 25/23* 13/7 
 11) 62: 25/23 23/17*            33: 25/22 23/20 13/10 13/10 
 12) 42: 17/13 6/4               65: 22/16 16/11 
 13) 55: 22/17 22/17 22/17 13/8  64: 11/5 7/3 
 14) 42: 17/13 8/6               53: 10/5 10/7 
 15) 55: 13/8 8/3 8/3 8/3        44: 20/16 20/16 20/16 7/3 
 16) 63: 7/1 4/1                 52: 7/2 5/3 
 17) 44: 17/13 17/13 7/3 6/2     42: 16/14 14/10 
 18)  Doubles => 2                Drops
      Wins 1 point               

 
