Game14
 Kaneko,1904 : 8                  michy,1978 : 10
  1)                             56: 24/18 18/13
  2)  Doubles => 2                Takes
  3) 62: 24/18 13/11             41: 13/9 8/7
  4) 56: 25/20 24/18             43: 25/22 9/5
  5) 45: 25/20 18/14             65: 25/20 20/14
  6) 43: 25/21 14/11             53: 25/22 13/8
  7) 15: 13/8 21/20              41: 13/9 9/8
  8) 53: 13/8 8/5                33: 13/10 13/10 6/3 6/3
  9) 53: 6/1 8/5                 21: 25/24 24/22
 10) 13: 25/24 11/8              61: 13/7 8/7
 11) 33: 13/10 13/10 10/7 10/7   44: 10/6 10/6 6/2 6/2
 12) 41: 24/20 6/5               56: 22/16 8/3
 13) 24: 8/4 6/4                 53: 16/11 11/8
 14) 13: 8/5 5/4                 24: 8/4 6/4
 15) 31: 5/2 2/1                 12: 3/1 2/1
 16) 42: 20/16 16/14             12: 8/6 8/7
 17) 64: 20/14 20/16             51: 7/2 6/5
 18) 23: 4/1 16/14               44: 7/3 6/2 5/1 6/2
 19) 62: 14/8 8/6                52: 7/2 3/1
 20) 46: 14/8 8/4                62: 22/16 16/14
 21) 54: 8/3 7/3                 23: 25/23 14/11
 22) 66: 25/19 8/2 19/13 13/7    52: 25/23 11/6
 23) 66: 25/19 19/13 13/7 7/1    16: 
 24) 41: 6/2 7/6                 55: 
 25) 62: 7/1 4/2                 23: 
 26) 44: 4/0 4/0 5/1 5/1         25: 25/20
 27) 15: 6/5 5/0                 54: 25/20 25/21
 28) 21: 2/0 1/0                 44: 20/16 16/12 12/8 8/4
 29) 61: 6/0 2/1                 63: 21/15 15/12
 30) 21: 6/4 1/0                 21: 12/10 10/9
 31) 33: 4/1 3/0 3/0 1/0         62: 
      Wins 2 points

 
