Game9
 Kazuki Yokota : 10                    Kiyokazu Nishikawa : 8
  1)                                   51: 24/23 13/8                    
  2) 21: 24/21                         43: 24/20 23/20                   
  3) 41: 24/20 21/20                   61: 13/7 8/7                      
  4) 11: 8/7(2) 8/6                    61: 13/7 8/7                      
  5) 32: 6/4 6/3                       52: 7/2 6/4                       
  6) 22: 13/11(3) 6/4                  21: 6/4 2/1                       
  7) 61: 11/4                          61: 7/1 4/3                       
  8) 43: 7/3 4/1                       42: 8/6 8/4                       
  9) 54: 11/7 11/6                     22: 13/11(2) 6/2                  
 10) 66: 13/1(2)                       43: 20/17 20/16                   
 11) 54: 7/2 6/2                       64: 16/6                          
 12) 11: 6/5(2) 6/4                    32: 6/3 4/2                       
 13) 41: 7/2                           62: 17/11 6/4                     
 14) 42: 5/3 5/1                       41: 11/6                          
 15) 53: 20/17 20/15                    Doubles => 2                     
 16)  Drops                             Wins 1 point



 
