Game7
 Bertl Keil : 5                  Gagua : 7
  1)                             64: 24/18 13/9 
  2) 43: 8/4 4/1*                42: 25/23 13/9 
  3) 65: 13/7* 6/1               61: 
  4) 32: 7/4 6/4                 33: 25/22 23/20 8/5 8/5 
  5) 52: 24/22 22/17*            32: 25/22 22/20 
  6) 51: 13/8 24/23              43: 6/2* 13/10 
  7) 43: 25/21 6/3*              41: 
  8) 31: 21/18 18/17             53: 25/22* 10/5 
  9) 31: 25/22 22/21             64: 22/16 6/2 
 10) 32: 21/18 8/6               64: 13/7* 13/9 
 11) 64: 25/21 21/15             53: 9/4 7/4 
 12) 21: 15/13 4/3               43: 20/16 6/3 
 13) 64: 13/7 7/3                43: 20/16 6/3 
 14) 32: 8/5 6/4                 53: 6/1 5/2 
 15) 43: 13/10 10/6              66: 16/10 16/10 16/10 10/4 
 16) 42: 13/9 8/6                 Doubles => 2
 17)  Drops                       Wins 1 point

 
