Game3
 Erik Sørensen : 2               Lars Nielsen : 2
  1) 61: 13/7 8/7                55: 13/3 13/3               
  2) 21: 7/5 6/5                 64: 24/18 18/14             
  3) 52: 25/20 13/11             21: 25/23 6/5               
  4) 51: 25/20 6/5               22: 25/23 24/22 6/4 6/4     
  5) 42: 24/20 13/11             21: 23/21 22/21             
  6) 61: 24/23 11/5              52: 21/14                   
  7) 31: 25/24 23/20             33: 21/15 14/8              
  8) 31: 13/10 10/9              22: 25/21 3/1 3/1           
  9) 52: 25/23 9/4               65:                         
 10)  Doubles => 2                Takes                      
 11) 62: 8/2 4/2                 64: 25/21                   
 12) 42: 8/4 6/4                 61: 25/24                   
 13) 55: 23/8 13/8               44:                         
 14) 54: 20/15 5/1               65:                         
 15) 52: 8/1                     41:                         
 16) 55: 20/15 20/5              53: 25/22                   
 17) 11: 5/3 5/3                 66:                         
 18) 21: 15/14 15/13             33:                         
 19) 41: 14/9                    43:                         
 20) 41: 9/5 8/7                 54:                         
 21) 64: 13/3                    32:                         
 22) 43: 7/4 5/1                 64:                         
 23) 31: 3/0 1/0                 52:                         
 24) 63: 6/3 6/0                 42:                         
 25) 66: 5/0 5/0 4/0 4/0         54: 25/20 25/21             
 26) 32: 25/20                   65: 13/2                    
 27) 66: 20/2 3/0                21: 21/18                   
 28) 53: 3/0 3/0                 
      Wins 4 point



 
