Game12
 Kit Woolsey : 7                       Gary Bauer : 13
  1)                                   43: 13/10 13/9                    
  2) 63: 24/15*                        54: Bar/20 24/20                  
  3) 54: 24/15                         53: 8/3 6/3                       
  4) 33: 13/10(2) 6/3(2)               32: 8/5 6/4                       
  5) 62: 10/4 6/4                      31: 9/5                           
  6) 43: 13/10 8/4                     64: 13/7 8/4                      
  7) 42: 10/8 10/6                     64: 24/20 7/1                     
  8) 21: 4/1                           65: 20/9                          
  9) 52: 8/1                           51: 9/8 6/1                       
 10) 42: 6/2 4/2                       43: 8/1                           
 11) 44: 15/11(2) 13/9(2)              42: 13/7                          
 12)  Doubles => 2                      Takes                            
 13) 41: 8/7 8/4                       43: 13/6                          
 14) 64: 9/3 7/3                       53: 7/2 6/3                       
 15) 53: 9/1                           32: 5/3 5/2                       
 16) 21: 3/2 3/1                       43: 6/3 6/2                       
 17) 43: 6/3 6/2                       62: 20/12                         
 18) 61: 11/5* 5/4                     42: Cannot Move                   
 19) 11: 11/7                          63: Bar/16                        
 20) 52: 7/Off                         51: 12/6                          
 21) 21: 2/Off 1/Off                   64: 16/6                          
 22) 43: 4/Off 3/Off                   52: 6/1 2/Off                     
 23) 63: 4/Off 3/Off                   64: 6/Off 4/Off                   
 24) 65: 4/Off 3/Off                   64: ????                          
      Wins 2 point



 
