Game19
 Konstantinos Mitrelis : 16            Ed O'Laughlin : 15
  1) 62: 24/18 13/11                   52: 24/22 6/1*                    
  2) 33: Bar/22 13/10 6/3*(2)          51: Bar/24 8/3*                   
  3) 53: Bar/22* 18/13                 21: Bar/23 24/23                  
  4) 52: 13/11 13/8                    21: 6/3*                          
  5) 53: Bar/20 13/10                  62: 13/5*                         
  6) 53: Bar/20* 13/10                 11: Bar/24 13/11 6/5*             
  7) 62: Bar/23 10/4                   44: 24/20(2) 13/5                 
  8) 31: 8/4                           44: 11/3 8/4(2)                   
  9) 41: 8/3                           21: 13/11 3/2*                    
 10) 21: Bar/23* 23/22*                32: Bar/23                        
 11) 53: 22/14*                        54: Bar/20                        
 12) 42: 14/12* 12/8                   43: Cannot Move                   
 13) 32: 11/6                          62: Bar/23                        
 14) 21: 11/8                          53: Bar/20 23/20                  
 15) 43: 8/1                           64: 20/16 20/14                   
 16) 31: 8/4                           42: 20/16 14/12                   
 17) 53: 6/3 6/1                       33: 23/20 12/3                    
 18) 51: 8/7 8/3                       33: 20/8                          
 19) 52: 6/4 6/1                       53: 23/18* 16/13                  
 20) 43: Bar/22* 22/18                 21: Bar/23 8/7*                   
 21) 51: Bar/24*                       64: Bar/19 16/12                  
 22) 52: 24/17                         32: 13/8*                         
 23) 65: Cannot Move                   61: 19/13 8/7                     
 24) 53: Bar/17                        62: 13/11 12/6                    
 25) 52: 17/10                         43: 7/3 6/3                       
 26) 51: 10/4                          43: 11/4                          
 27) 55: Cannot Move                   11: 7/5 4/2                       
 28) 51: 10/4                          51: 20/15* 15/14                  
 29) 31: Bar/24 4/1                    31: 14/13 5/2                     
 30) 32: 4/1 3/1                       61: 20/14 18/17                   
 31) 64: 24/14                         52: 17/12 13/11*                  
 32) 33: Cannot Move                   53: 12/7 11/8                     
 33) 61: Bar/18*                       51: Bar/20 8/7*                   
 34) 32: Cannot Move                   54: 20/11                         
 35) 32: Cannot Move                   62: 14/8 11/9                     
 36) 21: Bar/24 3/1                    62: 23/17 9/7                     
 37) 42: 3/1                           43: 17/13 8/5                     
 38) 54: Cannot Move                   22: 13/7 5/3                      
 39) 55: Cannot Move                   22: 7/1* 3/1                      
 40) 64: Cannot Move                   41: 23/19 7/6                     
 41) 51: Cannot Move                   43: 19/15 7/4                     
 42) 61: Cannot Move                   53: 15/7                          
 43) 65: Cannot Move                   54: 7/3 6/1                       
 44) 61: Cannot Move                   54: 6/2 6/1                       
 45) 64: Bar/15                        55: 5/Off(2) 4/Off(2)             
 46) 41: 15/10                         51: 4/Off 1/Off                   
 47) 11: 10/7 3/2                      42: 3/Off 2/Off                   
 48) 51: 7/2 1/Off                     41: 3/Off 1/Off                   
 49) 52: 4/Off 2/Off                   41: 3/Off 1/Off                   
 50) 51: 4/Off 1/Off                   65: 2/Off(2)                      
 51) 54: 4/Off(2)                      55: 1/Off                         
                                        Wins 1 point



 
