Game3
 Thomas Ronn : 1                 Mislav Kovacic : 4
  1)                             41: 24/23 13/9 
  2) 45: 24/20 13/8              52: 9/4 6/4 
  3) 51: 20/15 15/14             65: 24/18 23/18 
  4) 56: 24/18 18/13             63: 13/7 13/10 
  5) 62: 14/8 6/4                55: 18/13 18/13 13/8 10/5 
  6) 64: 13/7 13/9               32: 8/5 13/11 
  7) 51: 8/3 7/6                 55: 13/8 13/8 11/6 8/3 
  8) 22: 13/11 13/11 9/7 7/5      Doubles => 2
  9)  Drops                       Wins 1 point

 
