Game7
 Tony Lee : 6                    Dod Davies : 4
  1) 56: 24/18 18/13             65: 24/18 18/13 
  2) 64: 24/18 18/14             42: 13/9 13/11* 
  3) 21: 25/24 13/11             41: 9/5 6/5 
  4) 41: 11/7 8/7                22: 24/22 13/11 6/4 6/4 
  5) 43: 7/3* 6/3                42: 25/21 13/11 
  6) 32: 7/4* 6/4                65: 25/20 20/14 
  7) 43: 13/9 8/5                63: 14/8 8/5 
  8) 53: 13/8 8/5                41: 11/7 8/7 
  9) 51: 13/8 8/7                65: 13/7 13/8 
 10) 32: 8/5 24/22               62: 7/1 8/6 
 11) 43: 6/2 5/2                 41: 6/2 2/1 
 12) 42: 13/9 9/7                33: 11/8 11/8 8/5 8/5 
 13) 64: 13/7 9/5                41: 5/1 5/4 
 14) 54: 7/2 5/1                 33: 8/5 8/5 7/4 7/4 
 15) 53: 7/2 7/4                 21: 5/3* 4/3 
 16) 63:                         52: 6/1 6/4 
 17) 21: 25/23 2/1               31: 4/1 1/0 
 18) 32: 6/3 3/1                 54: 5/0 5/1 
 19) 11: 4/3 3/2 2/1 2/1         65: 5/0 5/0 
 20) 11: 6/5 5/4 4/3 3/2         44: 4/0 4/0 4/0 4/0 
 21) 54: 23/18 18/14             42: 3/0 3/1 
 22) 54:                          Wins 1 point

 
