Game1
 J. Levermann : 0                K. Goulding : 0
  1) 54: 13/8 13/9               64: 24/18 13/9 
  2) 43: 9/5 8/5                 32: 18/15 15/13 
  3) 54: 6/1* 24/20              44: 25/21 13/9 9/5* 9/5 
  4) 52: 25/23 6/1               54: 21/16 13/9 
  5) 65: 24/18 23/18             22: 13/11 11/9 6/4 6/4 
  6) 42: 13/9* 9/7               21: 25/23 23/22 
  7) 61: 13/7 8/7                31: 13/12* 12/9 
  8) 52: 25/23 23/18             33: 13/10 9/6 6/3 6/3 
  9) 62: 18/12 7/5               55: 10/5 9/4 9/4 8/3 
 10) 31: 12/9 9/8                65: 22/16 6/1 
 11) 52: 8/3 5/3                  Doubles => 2
 12)  Drops                       Wins 1 point

 
