Game8
 Levermann : 10                  Kahn : 5
  1) 64: 24/18 18/14             64: 24/18 13/9 
  2) 51: 14/9 8/7*               41: 25/24 13/9 
  3) 32: 7/4 6/4                 52: 9/4 6/4 
  4) 65: 24/18 18/13             51: 24/23 23/18 
  5) 32: 9/7* 7/4                51: 25/20 6/5 
  6) 43: 13/9 9/6                64: 13/7 24/20 
  7) 55: 13/8 13/8 13/8 8/3      55: 9/4 8/3 8/3 7/2 
  8) 62: 8/2 4/2                 21: 4/2 6/5 
  9) 41: 6/2 2/1                 33: 8/5 5/2 4/1 4/1 
 10) 32: 6/3 8/6                 53: 13/8 8/5 
 11) 44: 13/9 13/9 8/4 8/4       41: 13/9 5/4 
 12) 55: 9/4 9/4 6/1 6/1         63: 20/14 14/11 
 13) 51: 6/1 6/5*                55: 25/20* 20/15 15/10 9/4 
 14) 51:                         11: 11/10 10/9 10/9 9/8 
 15) 43:                         41: 9/5 8/7 
 16) 21:                         21: 7/6 2/0 
 17) 43:                         43: 5/1 6/3 
 18) 43:                         43: 6/2 6/3 
 19) 66: 25/19 19/13 13/7 7/1    53: 5/0 3/0 
 20) 62: 4/0 2/0                 53: 5/0 3/0 
 21) 33: 4/1 4/1 3/0 3/0         31: 3/0 1/0 
 22) 64: 4/0 4/0                 41: 4/0 1/0 
 23) 63: 4/0 2/0                 62: 4/0 2/0 
 24) 41: 1/0 1/0                 61: 3/0 1/0 
 25) 31: 1/0 1/0                 54: 2/0 2/0 
                                  Wins 1 point

 
