Game5
 Pappas : 5                      Levermann : 1
  1)                             21: 13/11 6/5 
  2) 51: 13/8 6/5                61: 11/5 24/23 
  3) 63: 8/2* 5/2                63: 25/22 22/16 
  4) 54: 6/1* 13/9*              32: 25/22 
  5) 64: 24/18 13/9              53: 25/22 6/1* 
  6) 21: 25/24* 18/16            31: 25/24* 24/21 
  7) 66:                         53: 8/3 6/3 
  8) 43: 25/21 24/21             32: 13/10 10/8 
  9) 53: 16/11 11/8              64: 21/15 15/11 
 10) 31: 8/5 6/5                 55: 13/8 13/8 13/8 11/6 
 11) 21: 13/11 13/12             53: 8/3 8/5 
 12) 52: 12/7 7/5                11: 22/21 22/21 8/7 8/7 
 13) 44: 11/7 9/5 9/5 7/3        43: 6/2 5/2 
 14) 62: 8/2 5/3                 63: 21/15 21/18 
 15) 52: 8/3 8/6                 62: 15/9 9/7 
 16) 53: 6/1 5/2                 32: 18/15 7/5 
 17) 42: 5/1 3/1                 65: 8/2 8/3 
 18) 32: 5/2 5/3                  Doubles => 2
 19)  Takes                      43: 5/1 15/12 
 20) 21: 3/1 2/1                 54: 12/7 7/3 
 21) 62: 21/15 15/13             53: 6/1 6/3 
 22) 61: 13/7 7/6                65: 7/1 7/2 
 23) 62: 21/15 15/13             32: 3/0 2/0 
 24) 55: 13/8 8/3 6/1 6/1        43: 5/1 3/0 
 25) 31: 3/0 1/0                 64: 5/0 3/0 
 26) 11: 1/0 1/0 1/0 1/0         31: 3/0 1/0 
 27) 41: 6/2 1/0                 31: 3/0 1/0 
 28) 55: 3/0 3/0 2/0 2/0         33: 3/0 2/0 2/0 2/0 
 29) 61: 2/0 1/0                 21: 1/0 1/0 
                                  Wins 2 points

 
