Game8
 Eli Roymi : 9                   LoSurdo : 4
  1)                             32: 13/10 13/11 
  2) 41: 13/9 24/23              64: 8/2* 6/2 
  3) 53: 25/22 13/8              32: 6/3* 3/1* 
  4) 32: 25/22                   12: 24/22 11/10 
  5) 51: 25/24* 8/3*             61: 25/24 
  6) 53: 13/8 6/3                52: 25/20 20/18 
  7) 43: 9/5 8/5                 64: 18/14 14/8 
  8) 53: 24/21 21/16             62: 10/4 6/4 
  9) 22: 16/14 8/6 6/4 6/4       33: 8/5 8/5 6/3* 6/3 
 10) 64: 25/19 19/15*            41: 25/24 13/9 
 11) 31: 6/3 15/14               32: 9/6 8/6 
 12)  Doubles => 2                Takes
 13) 33: 13/10 13/10 10/7 10/7   15: 13/8 24/23 
 14) 42: 14/12* 12/8             36: 
 15) 13: 8/5 3/2*                31: 25/24 
 16) 51: 8/3 3/2                 45: 
 17) 13: 14/11 11/10             13: 25/24 8/5 
 18) 63: 10/4 8/5                52: 6/1 5/3 
 19) 44: 7/3 7/3 6/2 6/2         21: 6/4 3/2 
 20) 42: 4/0 2/0                 31: 4/1 2/1 
 21) 42: 4/0 4/2                 42: 5/1 5/3 
 22) 64: 5/0                     64: 24/18 18/14 
 23) 63: 5/0 3/0                 52: 24/19 19/17 
 24) 63: 5/0 5/2                 33: 17/14 14/11 14/11 11/8 
 25) 12: 2/0 3/2                 44: 24/20 20/16 16/12 11/7 
 26) 53: 3/0 3/0                 51: 12/7 7/6 
 27) 61: 2/0 2/1*                55: 25/20 20/15 15/10 10/5 
 28) 32: 2/0 2/0                 51: 8/3 7/6 
 29) 21: 2/0 1/0                 
      Wins 4 points              

 
