Game4
 LtDrogo : 4                            maquisard : 0
  1) 43: 24/21 13/9                     54: 13/4*
  2) 31: bar/21*                        41: bar/24 8/4*
  3) 42: bar/21* 13/11                  42: bar/21 6/4*
  4) 52: bar/20 11/9                    63: 13/4
  5) 53: 8/3 6/3                        53: 24/21 13/8
  6) 65: 20/9                           32: 8/5 6/4
  7) 52: 24/22 13/8                     51: 8/3* 6/5
  8) 31: bar/22* 9/8                    65: bar/14
  9) 43: 9/5 8/5                        63: 24/21 14/8
  10) 63: 22/13                         11: 8/6 8/7 4/3
  11) 66: 13/7(3) 9/3                   33: 13/7 13/10 6/3
  12)  Doubles => 2                      Drops
  13)  Wins 1 point                     

 
