Game7
 Thomas Lumper : 14              Wolfgang Kargl : 3
  1)                             21: 13/11 6/5 
  2) 21: 13/11 24/23             66: 24/18 13/7 13/7 11/5 
  3) 32: 24/21 23/21              Doubles => 2
  4)  Takes                      54: 18/14* 14/9 
  5) 65:                         51: 24/23 23/18 
  6) 42: 25/21 6/4               65: 9/3 18/13 
  7) 43: 8/4 8/5                 41: 7/3 8/7 
  8) 43: 13/9 8/5                22: 13/11 13/11 13/11 3/1 
  9) 21: 13/11 13/12             61: 11/5 3/2 
 10) 53: 21/16 13/10             53: 11/6 11/8 
 11) 52: 11/6 16/14              61: 8/2 2/1 
 12) 62: 14/8 8/6                21: 8/6 8/7 
 13) 43: 12/8 8/5                64: 7/1 6/2 
 14) 42: 10/6 6/4                66: 7/1 7/1 6/0 6/0 
 15) 62: 21/15 15/13             65: 6/0 5/0 
 16) 43: 13/9 9/6                62: 6/0 6/4* 
 17) 43: 25/21* 6/3              61: 25/24 24/18 
 18) 54: 9/4 21/17               64: 18/12 12/8* 
 19) 64: 25/19 19/15             43: 8/4 5/2 
 20) 44: 15/11 11/7 7/3 4/0      62: 5/0 2/0 
 21) 63: 6/0 3/0                 43: 4/0 2/0 
                                  Wins 2 points

 
