Game4
 Lyurix : 2                             elken : 2
  1)                                    51: 24/23 13/8
  2) 22: 13/11(2) 6/4(2)                44: 13/9(2) 8/4(2)
  3) 32: 24/22 13/10                    51: 23/22 6/1*
  4) 11: bar/24* 8/7 4/3*(2)            44: bar/21(2) 9/5(2)
  5) 31: 24/23 10/7                     32: 6/4 6/3*
  6) 62: bar/23 13/7                    53: 24/21 13/8
  7) 41: 23/22* 22/18                   32: bar/23 13/10
  8) 11: 23/22 7/5 6/5                  31: 10/7* 8/7
  9) 43: bar/22 11/7                    32: 23/21 4/1
  10) 44: 13/5 11/3                     51: 21/15
  11) 52: 7/2 3/1                       51: 21/15
  12) 55: 8/3(2) 7/2(2)                  Doubles => 2
  13)  Drops                             Wins 1 point


 
