Game3
 Lyurix : 1                            Kaneko : 2
  1)                                   42: 8/4 6/4                       
  2) 11: 8/7(2) 6/5(2)                 64: 8/2 6/2                       
  3) 53: 13/10 13/8                    52: 24/22 13/8                    
  4) 65: 24/13                         53: 24/16                         
  5) 32: 24/22 13/10                   64: 22/16 13/9                    
  6) 55: 8/3(2) 7/2(2)                 32: 9/4                           
  7) 21: 22/20 6/5                     21: 6/5* 5/3                      
  8) 65: Bar/20 13/7                   43: 13/6                          
  9) 63: 20/11                         64: 13/9 13/7                     
 10) 31: 11/8 5/4                      42: 9/5 7/5                       
 11) 54: 10/6 10/5                     21: 8/6 4/3                       
 12) 11: 13/11(2)                      65: 16/11 16/10                   
 13) 41: 8/4 7/6                       54: 10/5 8/4                      
 14) 22: 11/9 11/5                     65: 11/Off                        
 15) 54: 9/Off                         51: 5/Off 2/1                     
 16) 52: 5/Off 2/Off                   64: 6/Off 4/Off                   
 17) 52: 5/Off 2/Off                   64: 6/Off 4/Off                   
 18) 63: 6/Off 3/Off                    Doubles => 2                     
 19)  Takes                            55: 6/1(2) 5/Off(2)               
 20) 62: 6/4 6/Off                     41: 4/Off 1/Off                   
 21) 42: 6/Off                         65: 3/Off(2)                      
 22) 43: 4/Off 3/Off                   51: 2/Off 1/Off                   
 23) 43: 5/2 4/Off                     62: 1/Off                         
                                        Wins 2 point



 
