Game2
 Stick : 0                       MCG : 1
  1)                             52: 13/8 24/22              
  2) 65: 24/18 18/13             31: 6/5 8/5                 
  3) 66: 24/18 13/7 13/7 13/7    62: 24/22 13/7              
  4) 61: 25/24 24/18             42: 25/21 6/4               
  5) 65: 18/13 13/7              54: 8/4 21/16               
  6) 41: 13/9 9/8                54: 25/21 21/16             
  7) 54: 6/2 7/2                 33: 16/13 13/10 10/7 6/3    
  8) 64: 6/2 8/2                 52: 13/11 8/3               
  9) 32: 7/5 8/5                 43: 8/5 11/7                
 10) 31: 8/7 8/5                 11: 7/6 5/4 4/3 3/2         
 11) 51: 2/1 6/1                 62: 13/11 11/5              
 12)  Doubles => 2                Takes                      
 13) 55: 13/8 13/8 6/1 6/1       41: 13/12 6/2               
 14) 65: 7/2 7/1                 66: 22/16 16/10 12/6 10/4   
 15) 11: 8/7 8/7 2/1 2/1         54: 6/1 5/1                 
 16) 61: 2/1 7/1                 65: 6/1 7/1                 
 17) 21: 5/3 3/2                 31: 25/22 6/5               
 18) 42: 7/3 3/1                 62: 25/19 19/17             
 19) 31: 7/4 1/0                 65: 17/12 12/6              
 20) 21: 1/0 2/0                 44: 6/2 4/0 4/0 4/0         
 21) 31: 1/0 5/2                 52: 2/0 5/0                 
 22) 64: 4/0 5/0                 63: 3/0 5/0                 
 23) 54: 2/0 2/0                 54: 5/0 3/0                 
 24) 61: 1/0 1/0                  Doubles => 4               
 25)  Drops                       Wins 2 point



 
