Game3
 X-22 : 6                        Jacobsen : 4
  1)                             32: 24/21 13/11 
  2) 22: 13/11 13/11 6/4* 6/4    54: 25/20 24/20 
  3) 43: 13/9 24/21              62: 11/5 5/3 
  4) 33: 24/21 21/18 21/18 9/6   52: 13/8 6/4 
  5) 11: 11/10 11/10 10/9 10/9   52: 8/3 6/4 
  6) 32: 6/3 8/6                 52: 13/8 8/6 
  7) 61: 9/3 9/8                 32: 8/5 6/4 
  8) 64: 8/2 6/2                 43: 5/1 4/1 
  9) 51: 6/1 2/1                 31: 8/5 6/5 
 10) 65: 8/2 8/3                 22: 20/18 20/18 8/6 6/4 
 11) 52: 6/1 6/4                 41: 18/14 14/13 
 12) 64: 13/7* 13/9              31: 
 13) 43: 7/3 4/1                 51: 25/20 4/3 
 14) 21: 9/7 3/2                 53: 13/8 8/5 
 15) 64: 18/14 14/8              51: 13/8 8/7* 
 16) 21: 25/23 8/7                Doubles => 2
 17)  Drops                       Wins 1 point

 
