Game16
 Claude Marbleu : 18             Jeremy Bagai : 10
  1)                             52: 13/8 24/22 
  2) 51: 13/8 24/23              41: 6/2* 2/1* 
  3) 54: 25/20 25/21             63: 22/16 16/13 
  4) 31: 8/5 6/5                 44: 13/9 9/5* 8/4* 5/1 
  5) 42: 25/21* 25/23            64: 25/21 21/15 
  6) 42: 13/9 23/21              54: 13/8 15/11 
  7) 63: 9/3 6/3                 21: 13/11 24/23 
  8) 32: 8/5 13/11               53: 8/3 6/3 
  9) 61: 11/5 5/4                41: 11/7 8/7 
 10) 63: 13/7 7/4                44: 13/9 13/9 9/5 9/5 
 11) 53: 13/8 5/2*               31: 25/24 11/8 
 12) 53: 6/1* 8/5                55: 
 13) 55: 21/16 16/11 11/6 6/1    42: 25/23* 8/4* 
 14) 43: 25/21*                  31: 
 15) 44: 25/21 8/4 6/2* 6/2      66: 25/19 25/19 19/13 19/13 
 16) 41: 5/1 8/7                 33: 13/10 13/10 8/5 8/5 
 17) 21: 7/5 4/3                 22: 10/8 10/8 8/6 8/6 
 18) 61: 21/15 15/14             62: 7/1 7/5 
 19) 32: 21/18 14/12             11: 5/4 1/0 1/0 1/0 
 20) 53: 18/13 13/10             63: 6/0 3/0 
 21) 51: 12/7 7/6                51: 5/0 5/4 
 22) 31: 10/7 7/6                21: 3/1 1/0 
 23) 63: 6/0 3/0                 32: 5/2 2/0 
 24) 61: 6/0 1/0                 53: 5/0 6/3 
 25) 65: 5/0 5/0                 32: 3/0 4/2 
 26) 61: 5/0 1/0                 43: 4/0 6/3 
 27) 43: 4/0 3/0                 64: 6/0 6/2 
 28) 52: 4/0 2/0                 65: 3/0 2/0 
 29) 63: 3/0 2/0                 21: 2/0 
                                  Wins 1 point

 
