Game1
 Markus031972 : 0                       elza : 0
  1) 32: 24/21 13/11                    51: 24/23 13/8
  2) 11: 11/9 6/5(2)                    43: 8/4* 4/1*
  3) 66: Cannot Move                    64: 8/2 6/2
  4) 43: bar/22 bar/21                  42: 8/4* 6/4
  5) 51: bar/24* 22/17*                 21: bar/24 bar/23
  6) 62: 13/7 9/7                       11: 23/21(2)
  7) 41: 17/13 8/7                      51: 13/7
  8) 21: 24/22 6/5                      31: 7/3*
  9) 63: bar/22* 22/16                  31: bar/21
  10) 54: 16/7                          54: 21/16 13/9
  11) 32: 13/8                          62: 16/8
  12) 62: 13/7 8/6                      63: 9/3 6/3
  13) 31: 7/3                           64: 13/9 13/7
  14)  Doubles => 2                      Takes
  15) 65: 13/8 13/7                     65: 7/1 6/1
  16) 53: 7/2 6/3                       42: 9/5 8/6
  17) 31: 7/6 5/2                       31: 6/5 6/3
  18) 22: 8/6(3) 7/5                    64: 21/17 21/15
  19) 42: 7/5 7/3                       65: 17/11 15/10
  20) 22: 6/4(4)                        52: 11/6 3/1
  21) 52: 5/off 4/2                     52: 10/5 6/4
  22) 31: 6/5 6/3                       65: 24/13
  23) 31: 4/1* 2/1                      41: Cannot Move
  24) 63: 5/2 5/off                     53: Cannot Move
  25) 54: 5/1 5/off                     62: bar/19 13/11
  26) 21: 2/off 1/off                   55: 19/4 11/6
  27) 21: 2/off 1/off                   53: 5/off 3/off
  28) 54: 4/off(2)                      52: 5/off 2/off
  29) 64: 3/off(2)                      53: 5/off 3/off
  30) 61: 3/off 1/off                   21: 2/off 1/off
  31) 52: 3/off 2/off                   
  32)  Wins 2 point                     

 
