Game2
 Masahito Yamamoto : 0                 Kiyokazu Nishikawa : 2
  1)                                   63: 24/18 13/10                   
  2) 41: 24/20 8/7*                    41: Bar/21 6/5*                   
  3) 62: Bar/23 13/7                   64: 10/4 8/4                      
  4) 41: 24/20* 23/22                  32: Bar/23 24/21                  
  5) 53: 13/5                          31: 8/5* 6/5                      
  6) 53: Bar/22 13/8                   51: 21/20* 13/8                   
  7) 51: Bar/24 6/1                    64: 21/15 20/16                   
  8) 32: 8/5 7/5                       41: 23/18*                        
  9) 22: Bar/23 13/9* 9/7*             53: Bar/22                        
 10) 51: 24/23 6/1                     41: Bar/21 13/12*                 
 11) 62: Bar/23 8/2                    42: 22/18* 12/10                  
 12) 64: Cannot Move                   44: 21/17* 15/7 13/9              
 13) 31: Bar/24 Bar/22                 64: 18/14 13/7                    
 14) 55: 6/1(3)                        31: 14/11 10/9                    
 15) 64: 5/1                           51: 17/16 6/1*                    
 16) 65: Cannot Move                   61: 16/15 11/5                    
 17) 62: Bar/23                        54: 15/6                          
 18) 65: Cannot Move                   31: 9/5                           
 19) 41: 23/22 5/1                     33: 8/5(2) 7/4(2)                 
 20) 52: 23/16*                        62: Bar/23* 23/17                 
 21) 11: Bar/24* 24/22 16/15           11: Cannot Move                   
 22) 31: 15/11                         54: Bar/20 17/13                  
 23) 43: 11/4                          21: 20/17                         
 24) 52: 22/17 4/2                     31: 5/1                           
 25) 65: 22/17 22/16                   65: 17/6                          
 26) 41: 17/12*                        22: Bar/23* 23/17                 
 27) 62: Bar/17                        64: 17/13* 13/7                   
 28) 62: Bar/17                        21: 7/5 1/Off                     
 29) 52: 17/15 17/12                   53: 5/Off 4/1                     
 30) 55: 17/12 16/6 15/10              42: 6/Off                         
 31) 62: 12/6 10/8                     33: 4/1(3)                        
 32) 54: 22/13                         63: 6/3* 6/Off                    
 33) 65: Bar/19* 19/14                  Doubles => 2                     
 34)  Takes                            21: Bar/22                        
 35) 65: 23/18 14/8                    64: 22/12*                        
 36) 41: Bar/21 23/22*                 41: Bar/21 12/11                  
 37) 21: 21/18                         64: 11/1                          
 38) 11: 6/4*(2)                       62: Bar/19 5/3*                   
 39) 61: Bar/19 18/17                  22: 5/3(4)                        
 40) 51: 12/6*                         33: Bar/19* 19/13                 
 41) 62: Bar/23 18/12*                 43: Bar/18                        
 42) 52: 17/15 12/7*                   41: Cannot Move                   
 43) 51: 19/14 8/7                     32: Bar/20                        
 44) 64: 15/5*                         62: Bar/17*                       
 45) 42: Bar/21 7/5                    62: 17/11* 11/9                   
 46) 43: Bar/21 7/4                    41: 9/5 1/Off                     
 47) 11: 21/20* 20/17                  31: Bar/22 3/2*                   
 48) 64: Bar/15                        66: 22/10* 10/4* 4/Off            
 49) 21: Bar/23*                       31: Bar/22 3/2*                   
 50) 64: Bar/21 Bar/19                 32: 22/17                         
 51) 64: 17/7                          62: 17/11 3/1                     
 52) 53: 19/14* 14/11                  31: Bar/22 2/1                    
 53) 63: 21/15 7/4                     52: 22/15                         
 54) 61: 15/9 11/10*                   62: Bar/17                        
 55) 65: 10/5 9/3                      51: 17/11                         
 56) 51: 5/Off 1/Off                   54: 11/2                          
 57) 43: 4/Off 3/Off                   53: 3/Off(2)                      
 58) 53: 5/2 5/Off                     44: 2/Off 1/Off(3)                
                                        Wins 2 point



 
