Game10
 othello,1980 : 8                 Masahito,1927 : 6
  1) 65: 24/18 18/13             25: 24/22 13/8
  2) 35: 8/3 6/3                 52: 25/20 13/11
  3) 51: 13/8 6/5                25: 25/20 13/11
  4) 34: 25/21 8/5               56: 25/20 20/14
  5) 31: 25/22 22/21             25: 14/9 11/9
  6) 56: 24/18 18/13             52: 13/8 13/11
  7) 41: 13/9 13/12              62: 24/18 18/16
  8) 14: 25/24 13/9              61: 25/24 24/18
  9) 13: 8/7 12/9                43: 25/21 21/18
 10) 64: 25/21 13/7              54: 25/21 6/1
 11) 36: 25/22 13/7              24: 21/17 17/15
 12) 53: 25/20 13/10             34: 25/21 8/5
 13) 24: 25/21 22/20             43: 25/21 8/5
 14) 43: 25/21 21/18             31: 8/5 6/5
 15) 65: 21/15 15/10             11: 8/7 8/7 21/20 21/20
 16) 11: 25/24 24/23 23/22 22/21 65: 25/20 20/14
 17) 11: 9/8 9/8 3/2 3/2         51: 14/9 9/8
 18) 31: 7/4 7/6                 35: 11/6 11/8
 19) 43: 8/4 6/3                  Doubles => 2
 20)  Drops                       Wins 1 point

 
