Game13
 othello,1964 : 18                Masahito,1917 : 3
  1) 52: 13/8 24/22              53: 8/3 6/3
  2) 12: 25/23 24/23             52: 13/8 13/11
  3) 14: 13/9 9/8                14: 11/7 8/7
  4) 21: 13/11 6/5                Doubles => 2
  5)  Takes                      55: 6/1 6/1 13/8 8/3
  6) 61: 11/5 6/5                41: 24/23 13/9
  7) 14: 8/4 5/4                 41: 13/9 23/22
  8) 26: 13/7 7/5                12: 24/22 9/8
  9) 35: 13/8 8/5                35: 9/4 7/4
 10) 54: 23/18 18/14             12: 25/23 3/2
 11) 24: 25/23 14/10             26: 25/23 8/2
 12) 53: 25/20 8/5               11: 8/7 7/6 6/5 8/7
 13) 15: 25/20 5/4               25: 25/23 7/2
 14) 25: 20/18 10/5              23: 6/3 3/1
 15) 13: 18/15 5/4               12: 23/22 6/4
 16) 32: 15/12 8/6               46: 22/16 16/12
 17) 66: 12/6                    14: 12/8 4/3
 18) 46: 5/1                     11: 8/7 7/6 3/2 2/1
 19) 46: 5/1                     36: 22/16 16/13
 20) 15: 8/3 4/3                 22: 25/23 13/11 11/9 9/7
 21) 12: 8/6 1/0                 65: 23/17 17/12
 22) 64: 6/0 4/0                 15: 12/7 7/6
 23) 63: 6/0 6/3                 53: 23/18 18/15
 24) 34: 4/0 4/1                 44: 15/11 11/7 7/3 7/3
 25) 36: 6/0 3/0                 24: 23/21 21/17
 26) 21: 6/4 1/0                 51: 17/12 12/11
 27) 41: 4/0 1/0                 42: 11/7 7/5
 28) 66: 6/0 5/0 5/0 3/0         15: 5/0 1/0
 29) 25: 3/0                    
      Wins 2 points

 
