Game4
 satoshi2104,1746 : 2             Masahito,1902 : 4
  1)                             36: 24/18 13/10
  2) 65: 13/7 6/1                22: 25/23 25/23 6/4 6/4
  3) 66: 24/18 24/18 13/7 13/7   53: 10/5 8/5
  4) 66: 13/7 13/7 7/1 7/1       61: 13/12 12/6
  5) 52: 18/13 18/16             52: 23/21 13/8
  6) 32: 16/13 8/6               55: 8/3 8/3 6/1 6/1
  7) 36: 13/7 13/10              14: 13/9 13/12
  8) 53: 10/7 6/1                12: 9/7 7/6
  9) 64: 8/2 6/2                 44: 25/21 21/17 12/8 17/13
 10) 23: 25/23 7/4                Doubles => 2
 11)  Drops                       Wins 1 point

 
