Game29
 toshi,1804 : 24                  Masahito,1824 : 24
  1) 43: 24/21 13/9              53: 24/21 21/16
  2) 62: 25/23 24/18             12: 6/4 8/7
  3) 36: 25/22                   16: 13/7 4/3
  4) 22: 25/23 25/23 13/11 11/9  25: 25/20 20/18
  5) 31: 23/22 9/6               65: 25/20 24/18
  6) 51: 23/22 13/8              54: 20/15 15/11
  7) 56: 22/16 16/11             45: 18/13 18/14
  8) 65: 25/20 20/14             22: 25/23 13/11 6/4 6/4
  9) 11: 25/24 6/5 6/5 23/22     46: 14/8 11/7
 10) 63: 8/2 8/5                 33: 25/22 8/5 8/5 8/5
 11) 55: 8/3 8/3 22/17 22/17     61: 25/24 24/18
 12) 34: 6/2 5/2                 66: 13/7 7/1 7/1 13/7
 13) 41:                         13: 18/15 7/6
 14) 41:                         32: 6/3 5/3
 15) 32: 25/23 13/10             52: 
 16) 11: 5/4 5/4 17/16 17/16     15: 25/20 13/12
 17) 56:                         35: 20/15 15/12
 18) 62: 25/23                   34: 13/10 10/6
 19) 25: 25/23 6/1               24: 12/8 8/6
 20) 54: 16/11 16/12             22: 12/10 7/5 7/5 6/4
 21) 61: 11/5 2/1                44: 10/6 4/0 4/0 4/0
 22) 45: 23/18 12/8              16: 6/0 1/0
 23) 61: 18/12 12/11             45: 6/1 5/1
 24) 45: 11/6 6/2                12: 5/3 1/0
 25) 11: 8/7 7/6 6/5 2/1         52: 5/0 5/3
 26) 56: 23/17 17/12             34: 6/2 6/3
 27) 41: 25/21 21/20             56: 3/0 3/0
 28) 46: 12/6 20/16              32: 3/0 2/0
 29) 21: 16/14 14/13             44: 3/0 3/0 1/0 1/0
                                  Wins 2 points
