Game12
 Matt Reklaitis : 12                   Frank Talbot : 7
  1) 53: 8/3 6/3                       66: 24/18(2) 13/7(2)              
  2) 54: 24/20 13/8                    62: 13/5*                         
  3) 51: Bar/20* 24/23                 43: Bar/21 8/5*                   
  4) 65: Bar/20* 20/14                 63: Cannot Move                   
  5) 51: 14/8                          42: Bar/21 6/4                    
  6) 52: 23/21* 21/16                  32: Bar/23 8/5                    
  7) 41: 16/11                         41: 18/14* 6/5                    
  8) 51: Bar/24 13/8                   52: 13/11 13/8                    
  9) 51: 8/7* 7/2*                     32: Bar/23*                       
 10) 66: Cannot Move                   31: Bar/24 23/20                  
 11) 52: Bar/23 6/1*                   52: Bar/20 11/9                   
 12) 65: 8/2 6/1                       32: 14/9                          
 13) 54: 13/9 13/8                     53: 21/16* 16/13                  
 14) 43: Bar/21 24/21                  43: 21/14                         
 15) 11: 23/21 13/12* 12/11*           32: Bar/23*                       
 16) 52: Bar/23 11/6                   54: Bar/16                        
 17) 52: 23/21 8/3                     42: 23/21 16/12                   
 18) 32: 8/3                           52: 21/16 12/10                   
 19) 31: 6/2                           52: 20/13                         
 20) 21: 3/2 3/1                       43: 16/12 13/10                   
 21) 41: 8/7 8/4                       64: 12/2                          
 22) 51: 7/1                           41: 6/1                           
 23) 22: 6/2(2)                        31: 20/16                         
 24) 32: 4/1 3/1                       33: 9/3(2)                        
 25) 32: 3/1                           63: 16/7                          
 26) 52: 21/14                         53: 10/7 10/5                     
 27) 43: 14/7                          63: 8/5 8/2                       
 28) 62: 21/13                         53: 7/2 5/2                       
 29) 53: 13/5                          63: 7/1 5/2                       
 30) 53: 21/13                         43: 7/3 7/4*                      
 31) 61: Cannot Move                   32: 6/4 6/3                       
 32) 62: Bar/19 13/11                  44: 5/1(2) 4/Off(2)               
 33) 51: 11/6 7/6                      43: 3/Off(2)                      
 34) 65: 19/8                          65: 3/Off(2)                      
 35) 41: ????                           Wins 1 point



 
