Game4
 Hugh McNeil : 3                 Gary : 1
  1) 12: 13/11 6/5               43: 24/20* 13/10 
  2) 65: 25/20 11/5*             51: 25/20* 6/5* 
  3) 61: 25/24                   41: 10/6 6/5 
  4) 61: 25/24 24/18             53: 13/8 8/5 
  5) 65: 24/18 13/8              22: 24/22 22/20 6/4 6/4 
  6) 52: 8/3 6/4                 62: 20/14 8/6 
  7) 41: 8/4 3/2                 53: 14/9 9/6 
  8) 32: 13/10 10/8              21: 20/18 5/4 
  9) 41: 6/2 8/7*                33: 25/22 13/10 13/10 13/10 
 10) 32: 8/5 7/5                 33: 8/5 8/5 5/2 5/2 
 11) 43: 18/14 8/5               62: 10/4 4/2 
 12) 53: 18/13 13/10             52: 22/17 17/15* 
 13) 41: 25/24 14/10*            62: 
 14) 63: 13/7 10/7               63: 25/22 22/16 
 15) 51: 13/8 5/4                 Doubles => 2
 16)  Drops                       Wins 1 point

 
