Game6
 Hugh McNeil : 1                 Michel Merlitti : 7
  1) 16: 13/7 8/7                21: 13/11 6/5 
  2) 52: 13/8 24/22              53: 13/8 8/5 
  3) 41: 13/9 8/7                32: 6/3* 3/1* 
  4) 42: 25/21 25/23             31: 13/10 11/10 
  5) 51: 21/16 9/8               33: 24/21 24/21 10/7 10/7 
  6) 41: 16/15 15/11             61: 21/15 15/14* 
  7) 53: 25/22 8/3               65: 14/8 21/16 
  8) 54: 8/3 13/9*               66: 
  9) 53: 9/4 7/4                 21: 25/23 13/12* 
 10) 62: 25/23 8/2*              54: 25/20 20/16 
 11) 21: 23/21 22/21              Doubles => 2
 12)  Takes                      53: 12/7 16/13 
 13) 42: 6/2 23/21               61: 8/2 2/1 
 14) 42: 6/2 7/5                 66: 13/7 13/7 8/2 7/1 
 15) 31: 7/4 6/5                 61: 7/1 7/6 
 16) 42: 5/1 4/2                 42: 7/3 7/5 
 17) 65: 21/15 15/10             21: 5/3 3/2 
 18) 44: 10/6 6/2 6/2 5/1        21: 5/3 6/5 
 19) 32: 6/3 3/1                 55: 8/3 8/3 5/0 5/0 
 20) 52: 21/16 16/14             61: 6/0 1/0 
 21) 41: 14/10 10/9              52: 6/1 6/4* 
 22) 53: 25/20 9/6               64: 4/0 3/0 
 23) 54: 20/15 15/11             43: 3/0 3/0 
 24) 63:                          Wins 2 points

 
