Game7
 Michael Meyburg : 6             Nack Ballard : 5
  1)                             31: 8/5 6/5 
  2) 31: 8/5 6/5                 21: 13/11 6/5 
  3) 65: 24/18 18/13             54: 13/8 13/9 
  4) 32: 13/10 13/11             43: 5/1* 24/21 
  5) 53: 25/22 10/5              63: 9/3* 6/3 
  6) 32: 25/23 11/8              43: 11/7 24/21 
  7) 11: 8/7 8/7 8/7 6/5         41: 13/9 8/7 
  8) 43: 7/3 6/3                  Doubles => 2
  9)  Takes                      61: 13/7 7/6 
 10) 65: 13/7 7/2                11: 9/8 8/7 7/6 6/5 
 11) 42: 13/9 9/7                66: 21/15 8/2* 8/2 7/1 
 12) 33:                         21: 6/4 5/4 
 13) 31:                         31: 15/14 14/11 
 14) 43:                         43: 21/17 17/14 
 15) 65:                         65: 11/5 14/9 
 16) 63:                         64: 7/1 9/5 
 17) 64:                         53: 5/0 5/2 
 18) 43:                         11: 6/5 6/5 2/1 1/0 
 19) 62: 25/19 13/11             64: 5/0 4/0 
 20) 62: 19/13 13/11             55: 5/0 5/0 5/0 4/0 
 21) 11: 13/12 7/6 7/6 7/6       43: 3/0 3/0 
 22) 63: 12/6 11/8               64: 2/0 2/0 
 23) 62:                          Wins 2 points

 
