Game2
 Junichi Tanaka : 2                    Michihito : 0
  1)                                   21: 13/11 6/5                     
  2) 53: 8/3 6/3                       63: 24/21 11/5                    
  3) 32: 6/4* 4/1*                     41: Bar/21 Bar/24*                
  4) 55: Cannot Move                    Doubles => 2                     
  5)  Takes                            61: 13/7 8/7                      
  6) 65: Cannot Move                   32: 7/4 6/4                       
  7) 65: Cannot Move                   65: 21/16 13/7                    
  8) 41: Bar/24 13/9*                  32: Bar/23 24/21                  
  9) 21: 24/22 9/8                     51: 21/15                         
 10) 54: 13/9 13/8                     51: 23/18 15/14                   
 11) 31: 9/6 8/7*                      52: Bar/18*                       
 12) 64: Cannot Move                   21: 6/3*                          
 13) 42: Bar/23                        53: 18/15 8/3                     
 14) 52: Bar/23 8/3                    53: 14/11 13/8                    
 15) 54: 13/9 13/8                     42: 15/9                          
 16) 64: 8/4 8/2                       42: 13/11 9/5                     
 17) 42: 9/5 6/4                       21: 11/10 11/9                    
 18) 44: 8/4 6/2(2) 5/1                44: 10/6 9/5 8/4(2)               
 19) 22: 6/2 4/2 3/1                   52: 5/3                           
 20) 44: Cannot Move                   31: 7/6 7/4                       
 21) 64: 23/13                         64: 6/Off 4/Off                   
 22) 22: 13/5                          51: 6/Off                         
 23) 43: 5/1 4/1                       65: 6/Off 5/Off                   
 24) 65: 24/19* 19/13                  64: Bar/21* 21/15                 
 25) 21: Bar/24 13/11                  42: 15/11 4/2*                    
 26) 64: Bar/19 11/7                   61: 11/5 3/2                      
 27) 62: 19/11                         51: 5/Off 4/3                     
 28) 43: 11/4                          61: 5/4 5/Off                     
 29) 42: 24/18                         63: 4/Off 3/Off                   
 30) 41: 18/14 7/6                     51: 4/3 4/Off                     
 31) 52: 14/9 6/4                      55: 3/Off(3) 2/Off                
 32) 62: ????                           Wins 4 point



 
