Game10
 Mochizuki : 10                  Litzenberger : 10
  1) 45: 13/8 24/20              11: 8/7 8/7 6/5* 6/5 
  2) 42: 25/21 24/22             32: 7/4* 6/4 
  3) 36: 25/22 13/7              52: 13/8 24/22 
  4) 42: 13/9 9/7                54: 24/20 20/15 
  5) 64: 22/16 22/18*            52: 25/20 22/20 
  6) 51: 18/13 16/15             43: 15/11 13/10* 
  7) 63: 25/22 13/7              51: 8/3* 10/9 
  8) 51: 25/24 8/3               55: 20/15 20/15 13/8 8/3 
  9) 33: 8/5 8/5 7/4 6/3         45: 13/9 13/8 
 10) 66: 24/18 18/12 12/6 7/1    52: 11/6 8/6 
 11) 53: 6/1 7/4                 53: 9/4 8/5 
 12) 23: 6/4 6/3                 64: 9/3 6/2 
 13) 53: 8/3 5/2                 46: 15/11 15/9 
 14) 65: 13/7 13/8               21: 9/7 7/6 
 15) 44: 8/4 7/3 4/0 4/0         53: 11/6 3/0 
 16) 42: 4/0 2/0                 41: 4/0 6/5 
 17) 31: 3/0 1/0                 62: 6/0 2/0 
 18) 52: 5/0 6/4                 31: 3/0 5/4 
 19) 23: 4/2 3/0                 46: 4/0 6/0 
 20) 22: 4/2 3/1 2/0 2/0         13: 6/5 3/0 
 21) 65: 6/0 3/0                 51: 5/0 4/3 
 22) 22: 3/1 1/0 1/0 1/0         
      Wins 1 point and the match 
