Game16
 Mochizuki Masayuki : 15         Nakamura Yukio : 20
  1) 45: 13/8 13/9               11: 8/7 8/7 6/5 6/5 
  2) 32: 24/21 24/22             44: 13/9 8/4* 7/3* 7/3 
  3) 41: 25/21* 25/24            63: 25/22 22/16* 
  4) 21: 25/23 24/23             32: 9/6 6/4* 
  5) 43: 25/21* 21/18            62: 25/23 13/7* 
  6) 54: 25/21 23/18*            64: 25/21 13/7* 
  7) 12: 25/24 23/21             42: 13/9 9/7 
  8) 12: 6/4* 13/12*             11: 25/24 25/24 23/22 22/21* 
  9) 43: 25/21 12/9*             55: 25/20 21/16* 7/2 7/2 
 10) 55:                         42: 24/20 24/22 
 11) 41: 25/24 21/17             16: 22/16 24/23 
 12) 53: 8/3 6/3                 43: 20/16 23/20 
 13) 63: 24/18 24/21             32: 6/3 3/1 
 14) 51: 21/16 17/16             43: 24/20 16/13 
 15) 62: 18/12* 8/6              33: 
 16) 53: 21/16 21/18             41: 25/24 20/16 
 17) 42: 18/14 14/12             61: 16/10 2/1 
 18) 63: 16/10 13/10             63: 10/4 24/21 
 19) 53: 13/8 6/3                53: 21/16 5/2 
 20) 52: 6/1 3/1                 32: 6/3 6/4 
 21) 51: 16/11 11/10             31: 5/2 2/1 
 22) 64: 16/10 10/6              54: 16/11 11/7 
 23) 43: 10/6 6/3                33: 7/4 4/1 4/1 4/1 
 24) 53: 12/7 7/4                21: 16/14 14/13* 
 25) 55: 25/20 20/15 15/10 8/3   43: 16/12 13/10 
 26)  Doubles => 2                Takes
 27) 31: 10/7 7/6                62: 12/6 10/8 
 28) 12: 6/4 3/2                 51: 6/1 8/7 
 29) 21: 6/4 3/2                 41: 7/3 3/2 
 30) 62: 8/2 8/6                 62: 20/14 20/18 
 31) 65: 10/4 10/5               65: 18/12 14/9 
 32) 61: 6/0 1/0                 52: 12/7 7/5 
 33) 62: 6/0 2/0                 65: 9/3 5/0 
 34) 33: 6/3 3/0 3/0 3/0         44: 3/0 3/0 3/0 3/0 
 35) 64: 5/0 4/0                 64: 2/0 2/0 
 36) 52: 4/0 2/0                 11: 1/0 1/0 1/0 1/0 
 37) 52: 4/0 2/0                 31: 2/0 1/0 
 38) 61: 4/0 1/0                 
      Wins 2 points              

 
