Game6
 Mochy : 5                             Rory Pascar : 6
  1)                                   64: 24/14                         
  2) 63: 24/18 13/10                   65: 13/7* 6/1*                    
  3) 32: Bar/23 Bar/22                 41: 14/10 8/7                     
  4) 42: 8/4 6/4                       44: 7/3*(2) 6/2*(2)               
  5) 51: Bar/20 Bar/24*                32: Bar/23 13/10                  
  6) 51: 10/5 6/5                      53: 10/5* 8/5                     
  7) 43: Bar/21 24/21                  21: 23/22 10/8                    
  8) 62: 13/5                          55: 13/8(2) 13/3                  
  9)  Doubles => 2                      Takes                            
 10) 64: 13/3*                         31: Bar/22* 24/23                 
 11) 21: Bar/24 5/3*                   33: Bar/22* 8/5 8/2               
 12) 55: Cannot Move                   65: 22/11                         
 13) 54: Bar/21 13/8                   54: 23/18 5/1*                    
 14) 64: Bar/21 13/7*                  32: Bar/22 3/1                    
 15) 55: 21/16(2) 8/3*(2)              65: Cannot Move                   
 16) 54: 7/2 6/2                       22: Cannot Move                   
 17) 32: 16/13 16/14*                  54: Cannot Move                   
 18) 54: 21/12                         52: Cannot Move                   
 19) 66: 21/9 13/7 12/6                33: Cannot Move                   
 20) 61: 9/3 8/7                       41: Bar/24                        
 21) 21: 14/13 3/1*                    63: Cannot Move                   
 22) 52: 7/5 6/1                       53: Cannot Move                   
 23) 43: 13/6                          66: Cannot Move                   
 24) 63: 7/4 6/Off                     31: Cannot Move                   
 25) 52: 5/Off 4/2                     22: Cannot Move                   
 26) 53: 6/3 6/1                       21: Cannot Move                   
 27) 65: 5/Off(2)                      66: Bar/13(2)                     
 28) 55: 4/Off(2) 3/Off(2)             31: 13/12 8/5                     
 29) 51: 3/Off 1/Off                   53: 13/10 12/7                    
 30) 52: 2/Off(2)                      53: 10/5 7/4                      
 31) 31: 2/Off 1/Off                   63: 8/2 3/Off                     
 32) 42: 1/Off                         
      Wins 2 point



 
