Game3
 Fernando Newmark : 0                  Mochy : 2
  1) 43: 13/10 13/9                    41: 13/9 6/5                      
  2) 21: 9/7 8/7                       43: 13/9 8/5                      
  3) 11: 24/22 6/5(2)                  31: 24/23 24/21                   
  4) 65: 13/8 10/4*                    55: Cannot Move                   
  5)  Doubles => 2                      Takes                            
  6) 41: 22/21 8/4                     32: Bar/22 6/4*                   
  7) 32: Bar/23 24/21*                 61: Bar/24 22/16                  
  8) 51: 23/18 6/5                     53: 16/8                          
  9) 62: 21/13                         32: 13/10 9/7*                    
 10) 21: Bar/22                        51: 10/5 8/7                      
 11) 63: 22/16* 13/10                  51: Bar/24 8/3                    
 12) 53: 16/8                          31: 24/23 6/3                     
 13) 43: 10/7 8/4                      43: 8/4 7/4                       
 14) 21: 5/3 4/3                       32: 13/11 13/10                   
 15) 32: 13/11 13/10                   65: 11/6 10/4                     
 16) 53: 11/6 7/4                      61: 24/23 7/1                     
 17) 51: 10/5 4/3                      11: 6/2                           
 18) 31: 5/1                           52: 6/1 4/2                       
 19) 51: 8/7 8/3                       42: 6/4 5/1                       
 20) 65: 7/1 6/1                       44: 5/1(2)                        
 21) 31: 7/6 7/4                       43: 4/1                           
 22) 52: 6/1 3/1                       21: 4/3 4/2                       
 23) 63: 6/3 6/Off                     31: 2/1                           
 24) 52: 5/3 5/Off                     52: 23/16                         
 25) 55: 4/Off(3) 3/Off                32: 16/11                         
 26) 42: 3/1 3/Off                     42: 23/17                         
 27) 44: 3/Off(2) 1/Off(2)             62: ????                          
      Wins 4 point



 
