Game9
 Mochy : 8                             Tanaka Junichi : 9
  1)                                   54: 13/9 13/8                     
  2) 52: 13/11 13/8                    51: 24/18                         
  3) 52: 13/11 6/1*                    51: Bar/24* 18/13                 
  4) 63: Bar/16*                       63: Bar/16                        
  5) 21: 16/15 11/9*                   21: Bar/23 24/23                  
  6) 64: 11/5 9/5                      65: 13/2                          
  7) 55: 15/5 8/3(2)                   54: 13/8 6/2                      
  8) 53: 24/16                         64: 13/7 13/9*                    
  9)  Doubles => 2                      Takes                            
 10) 52: Bar/18*                       66: Cannot Move                   
 11) 43: 24/21 18/14                   22: Bar/23 8/4* 6/4               
 12) 43: Bar/18                        64: 9/3 8/4                       
 13) 51: 18/12                         51: 23/18 4/3                     
 14) 54: 12/7* 7/3                     11: Bar/24 8/7(2) 6/5             
 15) 61: 14/8 6/5                      65: 24/13                         
 16) 43: 13/10 13/9                    64: 13/3                          
 17) 62: 10/4 6/4                      41: 7/2                           
 18) 11: 9/6 5/4                       31: 8/5 2/1                       
 19) 32: 8/3                           33: 7/1 6/3(2)                    
 20) 41: 6/1                           62: 3/1                           
 21) 31: 5/1                           65: 23/12                         
 22) 22: 8/2* 4/2                      51: Cannot Move                   
 23) 32: 8/3                           22: Cannot Move                   
 24) 21: 3/Off                         66: Cannot Move                   
 25) 61: 6/5 6/Off                     61: Bar/18                        
 26) 41: 4/Off 1/Off                   41: 18/14 12/11                   
 27) 44: 5/1(3) 4/Off                  43: 14/7                          
 28) 64: 3/Off(2)                      43: 11/4                          
 29) 53: 3/Off(2)                      66: 7/1 5/Off(2) 4/Off            
 30) 66: 2/Off(2) 1/Off(2)             66: 4/Off(2) 3/Off(2)             
 31) 66: 1/Off(2)                      
      Wins 2 point



 
