Game1
 Richard Munitz : 0                 Bill Riles : 0
  1)                                 62: 24/18 13/11
  2) 42: 13/9 9/7*                   52: 25/20 20/18*
  3) 54: 25/20 24/20                 21: 13/11 24/23
  4) 66: 13/7* 13/7 8/2* 8/2         63: 25/22
  5) 51: 8/3* 24/23                  62:
  6)  Doubles => 2                    Takes
  7) 46: 7/3 13/7                    54: 25/20 25/21
  8) 32: 7/4* 6/4                    52: 25/20 13/11
  9) 21: 23/21 21/20                 34: 6/2 6/3
 10) 61: 13/7 2/1                    35: 11/6 6/3
 11) 16: 7/1 3/2                     62: 8/2 20/18*
 12) 12: 25/24 6/4                   61: 20/14 14/13
 13) 31: 24/21 4/3                   62: 8/2 8/6
 14) 16: 21/15 6/5                   61: 18/12 12/11
 15) 43: 15/11 11/8                  64: 13/7 11/7
 16) 64: 20/16 16/10                 51: 6/1 2/1
 17) 42: 10/6 8/6                    55: 13/8 13/8 11/6 11/6
 18) 43: 20/16 16/13                  Doubles => 4
 19)  Drops                           Wins 2 points


 
