Game21
 Hollederer,1920 : 16            Nahmad,1850 : 16
  1)                             51: 13/8 24/23 
  2) 63: 8/2* 13/10              41: 25/21 24/23* 
  3) 61: 25/24 24/18             65: 21/15* 23/18 
  4) 65: 25/20 13/7*             32: 25/22 15/13 
  5) 43: 7/3* 6/3                65: 25/20 20/14 
  6) 43: 18/14 14/11*            11: 25/24 8/7 6/5* 6/5 
  7) 62: 25/23 24/18*            51: 25/20 8/7* 
  8) 43: 25/21 21/18*            62: 25/23 20/14* 
  9) 65:                         54: 14/9 6/2* 
 10) 43: 25/21 25/22             11: 9/8 8/7* 8/7 2/1* 
 11) 52: 25/23                   54: 8/3* 7/3 
 12) 43: 25/21                   61: 7/1 24/23 
 13) 32: 25/23 13/10             61: 13/7 7/6 
 14) 31: 8/5 6/5                 32: 13/10 10/8 
 15) 43: 21/17* 8/5              22: 25/23 23/21 23/21 6/4* 
 16) 42: 25/21* 23/21            21: 25/24 23/21 
 17) 66: 17/11 13/7 13/7 11/5    63: 21/15* 24/21 
 18) 62: 25/23 23/17             22: 13/11 11/9 9/7 7/5 
 19) 65: 17/11 11/6              21: 15/13 13/12 
 20) 64: 23/17 17/13*            53: 
 21) 66: 21/15 21/15 15/9 15/9   54: 25/21 6/1 
 22)  Doubles => 2                Drops
      Wins 1 point               

 
