Game21
 Karsten Nielsen : 15            Morten Holm : 16
  1)                             53: 8/3 6/3 
  2) 65: 24/18 18/13             16: 13/7 8/7 
  3) 46: 8/2 6/2                 52: 13/8 24/22 
  4) 43: 13/9 6/3*               21: 25/24 24/22* 
  5) 14: 25/24 13/9              22: 24/22 13/11 6/4 6/4 
  6) 25: 13/8 13/11              14: 11/7 7/6 
  7) 25: 13/8 13/11              36: 13/7 13/10 
  8) 25: 11/6 11/9               52: 10/5 7/5 
  9) 21: 9/7 8/7                 14: 6/2 22/21 
 10) 14: 8/4* 24/23*             53: 25/20 25/22 
 11) 16: 8/2 8/7                 16: 22/21* 21/15 
 12) 66:                         65: 8/2* 7/2 
 13) 55:                         22: 22/20 15/13 3/1* 3/1 
 14) 32: 25/22                   11: 5/4 5/4 4/3* 4/3 
 15) 35: 25/20                   43: 8/5* 5/1 
 16) 16:                         22: 13/11 11/9 7/5 5/3 
 17) 44:                         31: 20/17 3/2 
 18) 22:                         11: 9/8 8/7 6/5 6/5 
 19) 46: 25/19                   33: 20/17 17/14 17/14 14/11 
 20) 46: 25/19                   46: 11/5 7/3 
 21) 11:                         55: 14/9 9/4 5/0 5/0 
 22) 52: 25/20* 19/17            33: 25/22 4/1 4/1 4/1 
 23) 54: 19/14 20/16             64: 
 24) 24: 9/5 7/5                 41: 22/21 21/17 
 25) 15: 14/9 9/8*               31: 25/22 22/21 
 26) 55: 17/12 16/11 12/7 9/4*   53: 25/22 22/17* 
 27) 66: 25/19 11/5 7/1 7/1      13: 17/14 14/13 
 28) 65: 7/1 6/1                 43: 13/9 9/6* 
 29) 15: 25/20 20/19*            32: 25/22 3/1 
 30) 21: 5/3* 4/3                43: 25/21 21/18 
 31) 65: 19/13 13/8              62: 18/12 12/10 
 32) 66: 8/2 6/0 6/0 6/0         62: 10/4 2/0 
 33) 21: 2/0 1/0                 35: 4/0 3/0 
 34) 15: 5/0 1/0                 26: 3/0 2/0 
 35) 14: 5/1 1/0                 15: 2/0 1/0 
 36) 25: 3/0 2/0                 24: 1/0 1/0 
 37) 26: 3/0 2/0                 56: 1/0 1/0 
 38) 14: 2/0 1/0                 11: 1/0 1/0 
                                  Wins 1 point and the match
