Game2
 Nishikawa Kiyokazu : 0                Katagami Daisuke : 2
  1)                                   31: 8/5 6/5                       
  2) 11: 8/7(2) 6/5(2)                 64: 13/9 13/7                     
  3) 62: 24/18* 18/16*                 42: Bar/23 Bar/21                 
  4) 64: 8/2* 6/2                      21: Bar/22                        
  5) 61: 13/6                          22: 13/9* 6/4(2)                  
  6) 31: Bar/22 24/23                  41: 22/21 13/9                    
  7) 54: 23/18 22/18                   63: 24/15                         
  8) 53: 13/10* 10/5                   54: Bar/21 13/8                   
  9) 31: 6/2                           43: 24/17                         
 10) 43: 13/6                          54: 21/17 8/3                     
 11) 33: 18/15(2) 13/10(2)             42: 9/3                           
 12) 11: 10/9(2) 2/1(2)                65: 9/4 8/2                       
 13) 41: 7/6 7/3                       51: 8/2                           
 14) 61: 15/9 3/2                      66: 21/15(2) 17/11(2)             
 15) 63: 15/6                          42: 15/9                          
 16)  Doubles => 2                      Takes                            
 17) 65: 9/4 9/3                       43: 15/11 9/6                     
 18) 31: 9/6 1/Off                     51: 11/10 11/6                    
 19) 53: 5/Off 3/Off                   63: 11/5 10/7                     
 20) 51: 5/Off 1/Off                   52: 7/Off                         
 21) 43: 6/3 4/Off                     51: 5/Off 2/1                     
 22) 66: 6/Off(4)                      54: 5/Off 4/Off                   
 23) 43: 5/1 3/Off                     62: 6/Off 2/Off                   
 24) 51: 6/Off                         61: ????                          
      Wins 2 point



 
