Game4
 Andreas Nussbaecher : 3         Thomas Lenz : 0
  1)                             32: 24/21 13/11 
  2) 32: 13/10 6/4*              44: 25/21* 13/9 8/4 8/4 
  3) 43: 25/22 8/4*              61: 25/24 9/3* 
  4) 61: 25/24 10/4              42: 24/20 13/11 
  5) 63: 24/18 8/5*              21: 25/23 8/7* 
  6) 52: 25/20 20/18*            21: 25/23 23/22 
  7) 31: 6/3* 6/5                53: 25/22* 22/17* 
  8) 64:                          Doubles => 2
  9)  Drops                       Wins 1 point

 
