Game2
 yuri : 0                              TJ : 1
  1)                                   54: 24/20 13/8                    
  2) 52: 24/22 13/8                    42: 24/20 13/11                   
  3) 21: 24/22 8/7                     64: 13/7 11/7                     
  4) 54: 8/3 7/3                       64: 8/2 6/2                       
  5) 61: 13/6                          54: 13/9 13/8                     
  6) 11: 22/20(2)                      63: 9/3 6/3                       
  7) 51: 13/12 6/1                     61: 20/13*                        
  8) 32: Cannot Move                    Doubles => 2                     
  9)  Drops                             Wins 1 point



 
