Game6
 RAY FOGERLUND : 3                     PAUL WEAVER : 7
  1)                                   51: 24/23 13/8                    
  2) 41: 6/2* 2/1*                     66: Cannot Move                   
  3)  Doubles => 2                      Takes                            
  4) 62: 13/11 13/7                    11: Bar/24*(2) 6/5(2)             
  5) 54: Bar/16                        54: 13/8 13/9*                    
  6) 63: Bar/16*                       64: Bar/21 24/18*                 
  7) 42: Bar/21 6/4*                   54: Bar/21* 18/13                 
  8) 11: Bar/21                        65: 24/13                         
  9) 22: 13/11 8/4* 6/4                22: Bar/23 13/11(2) 8/6           
 10) 21: 16/13                         54: 11/2                          
 11) 64: 24/14*                        66: Cannot Move                   
 12) 41: 24/23* 14/10                  52: Bar/23 Bar/20                 
 13) 21: 13/10                         31: 23/22 23/20                   
 14) 42: 23/21 10/6                    53: 8/3 6/3                       
 15) 43: 10/3*                         33: Bar/22* 13/10(2) 8/5          
 16) 21: Bar/24 13/11                  64: 22/12*                        
 17) 54: Bar/16                        61: 10/9* 9/3                     
 18) 41: Bar/24 11/7                   66: 12/6 8/2(2)                   
 19) 64: 21/15* 11/7                   21: Bar/22                        
 20) 31: 11/7                          63: 22/16 6/3                     
 21) 63: 15/9* 7/4                     55: Bar/15 20/15(2)               
 22) 32: 8/5 7/5                       43: 15/8                          
 23) 55: 21/16(2) 8/3 7/2              62: 8/2 5/3                       
 24) 52: 9/2                           54: 15/6                          
 25) 32: 6/3 4/2                       52: 15/8                          
 26) 32: 16/11                         54: 8/3 6/2                       
 27) 53: 16/8                          63: 6/Off 3/Off                   
 28) 62: 11/3                          54: 6/2 5/Off                     
 29) 32: 24/19*                        54: Cannot Move                   
 30) 33: 19/10 8/5                     22: Cannot Move                   
 31) 61: 10/4 2/1                      42: Cannot Move                   
 32) 54: 24/20* 20/15                  65: Cannot Move                   
 33) 31: 15/14 4/1                     21: Cannot Move                   
 34) 32: 14/9                          51: Cannot Move                   
 35) 64: 9/3 5/1                       65: Cannot Move                   
 36) 43: 6/3 6/2                       63: Bar/19                        
 37) 52: 5/3 5/Off                     32: Cannot Move                   
 38) 61: 4/3 4/Off                     51: Bar/20 19/18                  
 39) 64: 3/Off(2)                      51: 18/12                         
 40) 43: 3/Off(2)                      53: 20/12                         
 41) 65: 3/Off(2)                      53: 12/4                          
 42) 11: 2/Off 1/Off(2)                62: 12/6 2/Off                    
 43) 42: 3/Off 2/Off                   51: ????                          
      Wins 2 point



 
