Game7
 Papachristopoulos : 5           Castellano : 6
  1) 56: 24/18 18/13             63: 24/18 13/10 
  2) 41: 13/9 8/7*               56: 25/20 24/18* 
  3) 51: 25/20 6/5*              26: 25/23 10/4 
  4) 51: 13/8 6/5                41: 23/22 22/18 
  5) 13: 24/21* 21/20            32: 25/23 6/3 
  6) 41: 13/9 6/5                62: 8/2 6/4 
  7) 46: 20/16 16/10             55: 23/18 18/13 13/8 8/3 
  8) 62: 20/14 10/8              64: 13/7 8/4 
  9) 13: 14/13 8/5               54: 13/8 6/2 
 10) 16: 5/4 8/2                 61: 8/2 2/1 
 11) 62: 13/11 11/5              42: 13/9 13/11 
 12) 45: 13/9 9/4                54: 11/6 9/5 
 13) 62: 8/2 8/6                 63: 7/1 8/5 
 14) 56: 9/4 9/3                 66: 
 15) 51: 6/1 4/3                 64: 18/14 14/8 
 16)  Doubles => 2                Takes
 17) 54: 6/1 6/2                 32: 18/15 15/13 
 18) 15: 13/12* 12/7             62: 25/19 8/6 
 19) 61: 13/7 5/4                44: 19/15 15/11 11/7 7/3 
 20) 52: 7/2 7/5                 32: 3/0 2/0 
 21) 43: 4/0 3/0                 22: 6/4 4/2 2/0 2/0 
 22) 54: 5/0 4/0                 41: 4/0 1/0 
 23) 63: 5/0 3/0                 66: 6/0 6/0 6/0 5/0 
 24) 65: 5/0 5/0                  Doubles => 4
 25)  Drops                       Wins 2 points

 
