Game1
 Levermann : 0                   Pappas : 0
  1) 41: 13/9 6/5                22: 24/22 22/20* 20/18 18/16* 
  2) 41: 25/21 25/24             33: 16/13 13/10 13/10 13/10 
  3) 53: 13/8 24/21              63: 13/7 10/7 
  4) 42: 8/4 6/4                 66: 13/7 13/7 8/2 8/2 
  5) 41: 21/17* 13/12            53: 25/20 7/4* 
  6) 52: 25/20 8/6               22: 10/8* 7/5* 7/5 6/4 
  7) 61: 25/24                   51: 20/15 8/7 
  8) 61: 25/24 12/6              51: 15/10 6/5 
  9) 51: 13/8 13/12              62: 24/18 18/16 
 10) 53: 12/9* 9/4               44: 
 11) 31: 8/5 6/5                 31: 25/24 10/7 
 12) 33: 8/5 6/3 6/3 4/1*        52: 25/23 23/18 
 13) 64: 8/2 5/1                 32: 6/3 5/3 
 14) 55: 6/1 6/1                 63: 18/12 7/4 
 15) 65:                         32: 12/9 9/7 
 16) 32: 5/2 5/3                 43: 10/6 7/4 
 17) 65:                         42: 7/3 7/5 
 18) 52: 3/1                     21: 2/0 3/2 
 19) 51: 4/3                     11: 6/5 5/4 4/3 4/3 
 20) 53: 4/1                     43: 4/0 3/0 
 21) 53:                         53: 5/0 3/0 
 22) 64: 24/18 18/14             54: 5/0 6/2 
 23) 31: 14/11 11/10             61: 6/0 5/4 
 24) 43: 24/20 20/17             63: 4/0 3/0 
 25) 53: 24/19 19/16             65: 4/0 4/0 
 26) 31: 24/21 21/20             32: 3/0 2/0 
                                  Wins 2 points

 
