Game5
 Pasiphae : 6                           sam64 : 12
  1) 52: 24/22 13/8                     54: 24/20 13/8
  2) 63: 22/13                          64: 20/10
  3) 65: 24/13                          53: 10/5 8/5
  4) 11: 8/7(2) 6/5(2)                  51: 13/8 6/5
  5) 61: 13/7 6/5                       33: 24/21 13/10 6/3(2)
  6) 62: 13/5                           53: 21/13
  7) 22: 13/11(2) 8/6(2)                65: 13/8 10/4
  8) 63: 11/5 7/4                       33: 13/10(2) 8/5(2)
  9) 55: 13/3 13/8 11/6                 52: 10/5 8/6
  10) 61: 8/2 5/4                       64: 10/4 8/4
  11) 54: 7/3 7/2                       65: 8/2 5/off
  12) 53: 5/off 3/off                   61: 6/off 5/4
  13) 66: 6/off(4)                      32: 3/off 2/off
  14) 61: 6/off 2/1                     31: 4/off
  15) 54: 5/off 4/off                   61: 6/off 5/4
  16) 31: 3/off 1/off                   21: 3/off
  17) 51: 5/off 2/1                     52: 5/off 4/2
  18) 62: 5/off 4/2                     52: 5/off 2/off
  19) 41: 2/off 1/off                   
  20)  Wins 1 point                     

 
