Game5
 othello,1932 : 1                 Patso,1923 : 5
  1)                             35: 8/3 6/3
  2) 52: 13/8 13/11              32: 24/21 13/11
  3) 45: 8/4 6/1                 53: 25/20 25/22
  4) 61: 11/5 5/4                51: 25/24 13/8
  5) 16: 25/24 24/18             13: 8/7 11/8
  6) 33:                         24: 8/4 6/4
  7) 51: 25/24 8/3               63: 25/22 13/7
  8) 15: 25/20 24/23              Doubles => 2
  9)  Takes                      26: 13/7 7/5
 10) 63:                         22: 7/5 4/2 4/2 22/20
 11) 56:                         54: 13/9 20/15
 12) 62:                         16: 24/18 15/14
 13) 66:                         45: 9/4 8/4
 14) 63:                         63: 18/15 14/8
 15) 65:                         61: 15/9 7/6
 16) 32:                         41: 9/5 8/7
 17) 15: 25/24                   41: 8/4 7/6
 18) 51: 25/24 13/8              46: 6/0 6/2
 19) 41: 13/9 6/5                66: 6/0 6/0 6/0 5/0
 20) 23: 8/5 9/7                 12: 5/3 5/4
 21) 65: 24/18 24/19             24: 4/0 4/2
 22) 61: 13/7 19/18              52: 4/0 4/2
 23) 53: 24/19 19/16             24: 3/0 2/0
 24) 41: 18/14 16/15             26: 3/0 2/0
 25) 41: 24/20 20/19             64: 3/0 2/0
 26) 15: 19/14 7/6               66: 2/0 2/0
                                  Wins 4 points

 
