Game5
 Kit Woolsey : 6                        Paul Weaver : 1
  1) 54: 24/20 13/8                    51: 13/8 6/5*                     
  2) 53: Bar/20* 13/10                 32: Bar/23 8/5*                   
  3)  Doubles => 2                     
  4) 41: Bar/20*                       22: Bar/23 8/4 6/4                
  5) 22: 24/20 6/4(2)                  33: 23/20(2) 13/10(2)             
  6) 55: 13/3 8/3(2)                   51: 24/23 20/15*                  
  7) 61: Bar/18                        42: 24/20 15/13                   
  8) 42: 18/14 3/1                     66: 13/7(2) 13/1                  
  9) 41: 6/2* 2/1                      65: Bar/20 7/1                    
 10) 54: 14/9 13/9                     54: 20/15 7/3                     
 11) 63: 20/14 13/10*                  62: Bar/23 8/2                    
 12) 33: 20/17* 17/14 10/4             63: Cannot Move                   
 13) 52: 14/9 4/2*                     55: Bar/15(2)                     
 14) 64: 14/4                          65: 15/9 10/5                     
 15) 42: 8/6 8/4                       42: 10/8 9/5                      
 16) 54: 9/4 6/2                       41: 8/3                           
 17) 33: 9/6(2) 3/Off(2)               61: 15/8                          
 18) 54: 6/1 4/Off                     43: 8/5 6/2                       
 19) 53: 6/1 4/1                       52: 20/13                         
 20) 65: 6/1 6/Off                     51: ????                          
      Wins 1 point and the match




