Game7
 Steve Pickard : 3               Nodar Gagua : 4
  1)                             54: 13/8 24/20 
  2) 21: 13/11 6/5*              51: 25/20* 24/23 
  3) 53: 25/20 8/5*              41: 25/21 21/20* 
  4) 63: 25/22 11/5*             21: 25/23 6/5* 
  5) 32: 25/22 22/20*            41: 25/21 21/20* 
  6) 52: 25/20 22/20             65: 20/14 23/18 
  7) 21: 13/11* 8/7*             33: 25/22 25/22 23/20 20/17* 
  8) 31: 25/24 11/8*             43: 25/21 21/18* 
  9) 44: 25/21 24/20 20/16 20/16 61: 13/7 8/7 
 10) 11: 21/20 8/7* 6/5 6/5      53: 25/22 22/17 
 11) 61: 13/7 24/23              52: 22/17 8/6 
 12) 11: 16/15 16/15 15/14 15/14 64: 8/2* 6/2 
 13) 43: 25/21 20/17*            21: 25/23 23/22 
 14) 42: 21/17 24/22             42: 13/9 9/7 
 15) 64: 17/11 17/13             61: 7/1 2/1 
 16) 63: 22/16 16/13             33: 17/14* 17/14 6/3 6/3 
 17) 42: 25/23* 13/9             53: 25/22 22/17 
 18) 63: 14/8* 9/6               52: 25/23 22/17* 
 19) 21: 25/23 14/13             41: 22/21 21/17 
 20) 31: 23/20 6/5               65: 17/11 11/6 
 21) 52: 13/8* 8/6               65: 
 22) 65: 20/14 14/9              54: 25/21 21/16* 
 23) 11:                         22: 23/21 16/14 6/4 4/2* 
 24) 62: 25/23*                  66: 
 25) 63:                         51: 25/24 21/16 
 26) 64: 25/21 13/7              41: 16/15 15/11 
 27) 31: 7/4 5/4                 63: 14/8 11/8 
 28) 52: 13/8 23/21              43: 14/10 13/10 
 29)  Doubles => 2                Takes
 30) 62: 13/11* 11/5             42: 25/23 13/9 
 31) 65: 21/16* 16/10            64: 
 32) 65: 8/2* 7/2                54: 
 33) 41: 20/16 21/20             54: 
 34) 31: 10/7 5/4                41: 25/24 
 35) 55: 16/11 11/6 7/2 7/2      31: 25/22 3/2 
 36) 65: 20/14 14/9              63: 22/16* 16/13 
 37) 21: 25/23* 23/22*           52: 
 38) 53: 6/3                     31: 25/22* 25/24 
 39) 51: 25/20 4/3*              42: 
 40) 62: 20/14 14/12*            53: 25/22* 
 41) 31: 25/22 22/21             61: 25/24 24/18 
 42) 52: 12/7* 22/20             62: 
 43) 62: 20/14 7/5               55: 
 44) 32: 6/3* 5/3                32: 
 45) 51: 21/16 14/13             55: 
 46) 42: 20/16 13/11             62: 
 47) 42: 16/12 16/14             42: 
 48) 63: 14/8 8/5                65: 
 49) 61: 12/6 11/10              62: 
 50) 63: 10/4 6/3                41: 25/24 
 51) 54: 5/0 4/0                 22: 
 52) 43: 6/2 6/3                 41: 25/24 10/6 
 53) 31: 5/2 5/4                 21: 7/5 6/5 
 54) 63: 4/0 3/0                 63: 24/18 7/4 
 55) 41: 4/0 4/3                 51: 24/19 19/18 
 56) 44: 3/0 3/0 3/0 3/0         53: 24/19 24/21 
 57) 42: 2/0 2/0                 44: 24/20 21/17 20/16 19/15 
 58) 32: 2/0 2/0                 
      Wins 4 points              

 
