Game6
 othello,2000 : 3                 Pushistik,1860 : 6
  1)                             56: 24/18 18/13
  2) 42: 8/4 6/4                 21: 13/11 11/10
  3) 52: 13/8 24/22              34: 24/20 13/10
  4) 54: 22/18 18/13             13: 8/5 6/5
  5) 23: 8/5 13/11               33: 25/22 10/7 10/7 13/10
  6) 33: 8/5 6/3 6/3 24/21       14: 25/24 10/6
  7)  Doubles => 2                Takes
  8) 55: 21/16 16/11 13/8 13/8   53: 8/3 6/3
  9) 51: 11/6 6/5                12: 6/4 6/5
 10) 34: 8/4 11/8                16: 13/7 5/4
 11) 56: 13/7 13/8               24: 13/9 8/6
 12) 11: 8/7 8/7 7/6 4/3         54: 7/2 6/2
 13) 23: 7/4 7/5                 54: 13/8 9/5
 14) 26: 8/2 4/2                 16: 24/18 18/17
 15) 31: 25/24 5/2               54: 5/1 17/12
 16) 13: 25/24 6/3               63: 
 17) 36: 5/2                     35: 
 18) 53: 6/1 6/3                 41: 25/24 8/4
 19) 53:                         32: 4/1 12/10
 20) 16: 25/24                   62: 25/19 10/8
 21) 41: 25/24 5/1               16: 25/24 19/13
 22) 42:                         55: 24/19 19/14 14/9 9/4
 23) 53:                         44: 13/9 7/3 7/3 9/5
 24) 36:                         46: 8/2 4/0
 25) 23:                         62: 6/0 6/4
 26) 55:                         63: 5/0 3/0
 27) 61: 25/19 19/18             21: 5/3 5/4
 28) 44: 18/14 14/10 24/20 10/6  63: 4/0 3/0
 29) 13: 20/17 6/5               13: 4/1 2/1
 30) 44:                         13: 4/1 4/3
 31) 12:                         13: 3/0 3/2
 32) 62: 25/19 19/17             63: 3/0 3/0
 33) 45: 17/12 17/13             21: 2/0 1/0
 34) 64: 12/6 13/9               53: 2/0 2/0
 35) 31: 9/6 2/1                 63: 1/0 1/0
                                  Wins 4 points

 
