Game5
 Hollederer,1920 : 5             Reinhardt,1880 : 0
  1) 36: 24/18 13/10             53: 8/3 6/3 
  2) 64: 24/18 13/9              43: 8/4 8/5 
  3) 65: 10/4 9/4                62: 24/18 6/4 
  4) 42: 13/9 9/7*               52: 25/20 20/18* 
  5) 36:                          Doubles => 2
  6)  Takes                      43: 6/2 5/2 
  7) 51: 25/20 8/7*              43: 25/22 22/18* 
  8) 52: 25/20 6/4               42: 24/20 20/18 
  9) 11: 18/17 18/17 6/5 6/5     31: 13/10 10/9 
 10) 32: 8/5 8/6                 12: 9/7 7/6 
 11) 46: 17/11 17/13             63: 13/7 7/4 
 12) 62: 11/5 5/3                33: 18/15 18/15 4/1 4/1 
 13) 64: 13/7 7/3                23: 6/3 3/1 
 14) 46: 13/7 13/9               42: 15/11 13/11 
 15) 41: 6/2 9/8                 16: 13/7 7/6 
 16) 11: 8/7 5/4 4/3 3/2         41: 15/11 13/12 
 17) 42: 7/3 4/2                 54: 12/7 11/7 
 18) 46: 7/1 5/1                 12: 4/2 2/1 
 19) 56: 20/15 15/9              23: 7/5* 5/2 
 20) 12:                         61: 11/5 6/5 
 21) 53:                         11: 11/10 10/9 9/8 7/6 
 22) 46: 25/21 21/15             23: 8/5 2/0 
 23) 14: 9/5 15/14               43: 6/2 3/0 
 24) 41: 14/10 10/9              45: 5/0 6/2 
 25) 25: 9/4 2/0                 12: 2/0 1/0 
 26) 13: 3/0 1/0                 42: 6/2 2/0 
 27) 55: 6/1 6/1 5/0 5/0         35: 5/0 3/0 
 28) 22: 4/2 2/0 2/0 2/0         15: 5/0 1/0 
 29) 63: 4/0 3/0                 52: 2/0 2/0 
 30) 43: 4/0 3/0                 63: 2/0 1/0 
 31) 54: 1/0 1/0                 
                                  Wins 2 points

 
