Game2
 arykanda,1794 : 2                Rhino,1803 : 0
  1)                             36: 24/18 13/10
  2) 24: 13/9 9/7                52: 25/20 20/18
  3) 15: 25/20 8/7               54: 25/21 10/5
  4) 34: 25/22 24/20             31: 25/24 21/18
  5) 15: 25/20 8/7               16: 25/24 24/18
  6) 11: 25/24 8/7 6/5 6/5       52: 25/23 23/18
  7) 25: 25/20 24/22             56: 24/18 13/8
  8) 61: 20/14 6/5               63: 24/18 13/10
  9) 22: 13/11 13/11 24/22 22/20 55: 18/13 18/13 18/13 13/8
 10) 55: 20/15 13/8 13/8 14/9    25: 25/23 13/8
 11) 64: 15/9 11/7               26: 23/21 21/15
 12) 46: 20/14 14/10             25: 25/23 23/18
 13) 55: 25/20 9/4 9/4 8/3       14: 18/14 13/12
 14) 22: 25/23 5/3 23/21 8/6     13: 14/11 12/11
 15) 36: 10/4 21/18              56: 8/2 6/1
 16) 21: 4/2 6/5                 61: 8/2 2/1
 17) 62: 22/16 18/16             53: 8/3 6/3
 18) 33:                         12: 3/2 3/1
 19) 64: 25/21 21/15             51: 8/3 3/2
 20) 65: 15/9 9/4                41: 6/2 2/1
 21) 52: 16/11 4/2               43: 13/9 9/6
 22) 34: 25/22 11/7              44: 11/7 11/7 7/3 7/3
 23) 52: 25/20 7/5                Doubles => 2
 24)  Drops                       Wins 1 point

 
