Game4
 Levermann : 4                   Ring : 3
  1) 62: 24/18 13/11             51: 6/1* 8/7* 
  2) 54: 25/20 25/21             44: 24/20 24/20 8/4* 8/4 
  3) 31: 25/24* 11/8             53: 25/20 7/4 
  4) 31: 24/23 23/20             53: 13/8 6/3 
  5) 63: 20/17* 17/11            11: 25/24 24/23 6/5* 4/3 
  6) 32: 25/23 23/20*            63: 25/22 20/14* 
  7) 51: 25/20 8/7               64: 14/8 22/18* 
  8) 33:                         61: 13/7 8/7 
  9) 41: 25/24 24/20             61: 13/7 7/6 
 10) 43: 20/16 16/13             31: 18/15 15/14 
 11) 63: 13/7 7/4                21: 23/21* 14/13 
 12) 52: 25/20 6/4*              62: 25/23 13/7 
 13) 53: 6/1 4/1                 62: 23/21 21/15 
 14) 52: 13/8 8/6                42: 6/2 15/13 
 15) 54: 13/8 8/4                52: 13/8 8/6 
 16) 41: 6/2 4/3                 66: 20/14 20/14 14/8 14/8 
 17) 63: 20/14 14/11              Doubles => 2
 18)  Drops                       Wins 1 point

 
