Game16
 Jerry Grandell : 20             Leonid Riskin : 13
  1) 26: 24/18 13/11             32: 6/3 3/1* 
  2) 41: 25/24* 18/14            53: 25/20 13/10 
  3) 21: 13/11 14/13             55: 8/3 8/3 6/1* 6/1 
  4) 64: 25/21 21/15*            53: 25/20 13/10* 
  5) 22: 25/23 13/11 6/4 6/4     61: 13/7 8/7 
  6) 21: 23/21 21/20             21: 7/5* 24/23 
  7) 53: 25/20* 20/17            42: 25/23 24/20 
  8) 53: 8/3 6/3                 53: 13/8* 8/5 
  9) 55: 25/20* 20/15* 13/8 11/6 54: 25/20 
 10) 43: 11/7 15/12*             21: 25/23 25/24 
 11) 54: 12/7 11/7               64: 20/14 14/10 
 12) 52: 13/8 8/6                62: 20/14 14/12* 
 13) 41: 25/21 21/20             22: 12/10 10/8 8/6 7/5* 
 14) 64: 25/21 21/15*            51: 25/24 20/15 
 15) 53: 15/10* 8/5*             43: 
 16) 51: 10/5 6/5                61: 25/24 
 17) 54: 8/3 8/4                 43: 
 18) 63: 7/4                     54: 
 19) 32: 7/4 7/5                 32: 25/23 6/3 
 20) 32: 3/0 5/3                 43: 6/2 5/2 
 21) 11: 6/5 6/5 6/5 4/3         55: 24/19 23/18 19/14 14/9 
 22) 22: 5/3 5/3 5/3 5/3         21: 9/7 7/6 
 23) 52: 5/0 5/3                 31: 23/20 20/19 
 24) 65: 4/0 4/0                 21: 19/17 17/16 
 25) 51: 4/0 4/3                 53: 23/18 18/15 
 26) 66: 3/0 3/0 3/0 3/0         51: 16/11 18/17 
 27) 32: 3/0                     65: 11/5 15/10 
 28) 52: 3/0                     31: 17/14 14/13 
 29) 52: 3/0                     22: 13/11 11/9 9/7 7/5 
 30) 32: 3/0                     52: 24/19 19/17 
 31) 66: 3/0 3/0                 
      Wins 3 points              

 
