Game8
 Rived : 6                       Bonding : 9
  1)                             64: 24/18 13/9 
  2) 61: 13/7* 8/7               32: 25/22 24/22 
  3) 21: 7/5 6/5                 32: 13/10 10/8 
  4) 53: 24/21 21/16*            32: 25/23 8/5 
  5) 66: 24/18 16/10 13/7 13/7   61: 13/7* 6/5 
  6) 43: 25/21 21/18*            41: 25/21 8/7* 
  7) 55:                         65: 21/15* 15/10 
  8) 52: 25/23                   64: 8/2* 6/2 
  9) 54: 25/21                   64: 10/4* 8/4 
 10) 41: 25/24                   66: 22/16 13/7 7/1* 7/1 
 11) 65:                         32: 16/13 23/21 
 12) 41:                         53: 21/16 13/10 
 13) 31: 25/22                   32: 6/3* 5/3 
 14) 32:                         32: 10/7 7/5 
 15) 66:                         32: 16/13 13/11 
 16) 55:                         52: 13/8 11/9 
 17) 43:                         43: 8/4 9/6 
 18) 66:                         43: 6/2 4/1 
 19) 55:                         54: 6/1 6/2 
 20) 64: 25/19                   31: 5/2 22/21 
 21) 44:                         41: 5/1 2/1 
 22) 32:                         65: 21/15 15/10 
 23) 51: 25/20 13/12             42: 10/6* 6/4 
 24) 64: 25/19 19/15             53: 4/0 3/0 
 25) 41: 20/16 7/6               62: 4/0 2/0 
 26) 63: 12/6 13/10              41: 4/0 1/0 
 27) 51: 16/11 7/6               53: 3/0 2/0 
 28) 52: 11/6 8/6                62: 2/0 2/0 
 29) 21: 8/6 7/6                 42: 1/0 1/0 
 30) 31: 10/7 7/6                32: 1/0 1/0 
 31) 31:                          Wins 2 points

 
