Game8
 Robin Swaffield : 9                   Michael Dyett : 4
  1) 41: 24/23 13/9                    65: 24/13                         
  2) 61: 13/7 8/7                      53: 24/16*                        
  3) 51: Bar/20 6/5                    62: 13/5*                         
  4) 53: Bar/20* 8/5                   52: Bar/23 16/11                  
  5) 64: 20/14* 6/2*                   22: Bar/23*(2) 23/21 13/11*       
  6) 21: Bar/24 Bar/23                  Doubles => 2                     
  7)  Takes                            64: 23/17* 21/17                  
  8) 22: Bar/21 23/21 6/4              63: 11/5 8/5                      
  9) 62: 23/15                         53: 13/8 13/10*                   
 10) 63: Bar/22 21/15*                 21: Bar/24 6/4*                   
 11) 61: Bar/24 15/9                   64: 8/4 8/2                       
 12) 42: 24/22 13/9                    51: 8/2                           
 13) 43: 9/6 9/5                       11: 24/21* 6/5                    
 14) 32: Bar/22 6/4*                   31: Bar/21*                       
 15) 51: Bar/24 22/17                  31: 17/13                         
 16) 44: 17/9 13/9(2)                  64: 21/11                         
 17) 61: 24/18 9/8*                    41: Bar/24 11/7*                  
 18) 53: Bar/17                        11: 24/23 7/4                     
 19) 61: 17/11 9/8                     21: 23/21 13/12                   
 20) 31: 11/8 5/4*                     41: Bar/21* 12/11                 
 21) 11: Bar/24 8/5                    32: 11/6                          
 22) 62: 24/18 9/7                     63: 21/12                         
 23) 64: 18/8                          62: 12/4                          
 24) 64: 8/4 8/2                       32: 13/11 13/10                   
 25) 22: 8/4 7/3                       42: 10/4                          
 26) 62: 7/1 5/3                       52: 11/6 4/2                      
 27) 52: 7/2 3/1                       62: 6/Off 2/Off                   
 28) 33: 6/3(2) 5/2(2)                 62: 6/Off 4/2                     
 29) 61: 22/15                         43: 6/3* 4/Off                    
 30) 52: Cannot Move                   33: 6/3 6/Off 5/2                 
 31) 21: Bar/24 15/13                  62: 5/3 5/Off                     
 32) 11: 13/9                          41: 4/3 4/Off                     
 33) 42: 24/18                         21: 3/Off                         
 34) 64: 24/14                         42: 3/Off 2/Off                   
 35) 54: 18/13 14/10                   63: 3/Off(2)                      
 36) 54: 10/5 9/5                      64: 2/Off(2)                      
 37) 64: 24/18 13/9                    21: 2/Off                         
                                        Wins 4 point



 
